,Descriptions,Amount,Category,date,customer_id,type,month,fraud_type,is_scammed,is_scam_transaction
27,Transfer to Vacation Fund,350.0,Transfers,2023-10-16,14436,spending,October,none,1,0.0
28,Medical Lab - Blood Test,65.0,Healthcare,2023-10-16,14436,spending,October,none,1,0.0
29,ATM Withdrawal - XYZ Bank ATM,70.0,Cash Withdrawal,2023-10-17,14436,spending,October,none,1,0.0
30,ATM Withdrawal - GHI Bank ATM,70.0,Cash Withdrawal,2023-10-17,14436,spending,October,none,1,0.0
31,Savings Account Interest - October,15.6,Interest,2023-10-17,14436,spending,October,none,1,0.0
32,Online Retailer - Electronics Purchase,299.99,Online Shopping,2023-10-17,14436,spending,October,none,1,0.0
33,Coffee Shop - Morning Espresso,4.5,Dining Out,2023-10-18,14436,spending,October,none,1,0.0
34,Transfer from Checking to Savings,200.0,Transfers,2023-10-18,14436,spending,October,none,1,0.0
35,SuperValu,35.0,Groceries,2023-10-19,14436,spending,October,none,1,0.0
36,Credit Card Payment - American Express **** 3456,200.0,Credit Card Payment,2023-10-21,14436,spending,October,none,1,0.0
37,Fuel Purchase - Gas Station,43.25,Transportation,2023-10-21,14436,spending,October,none,1,0.0
38,HEB Grocery,55.0,Groceries,2023-10-21,14436,spending,October,none,1,0.0
39,ATM Withdrawal - DEF Bank ATM,90.0,Cash Withdrawal,2023-10-22,14436,spending,October,none,1,0.0
40,Online Retailer - Clothing Purchase,70.99,Online Shopping,2023-10-22,14436,spending,October,none,1,0.0
41,Credit Card Payment - Visa **** 7890,85.25,Credit Card Payment,2023-10-22,14436,spending,October,none,1,0.0
42,Transfer to Vacation Fund,350.0,Transfers,2023-10-22,14436,spending,October,none,1,0.0
43,Home Improvement - Hardware Store,85.6,Home Improvement,2023-10-22,14436,spending,October,none,1,0.0
44,Whole Foods Market,70.0,Groceries,2023-10-23,14436,spending,October,none,1,0.0
45,Amazon Prime Membership Renewal,12.99,Online Shopping,2023-10-24,14436,spending,October,none,1,0.0
46,Smart & Final,35.0,Groceries,2023-10-24,14436,spending,October,none,1,0.0
47,ATM Withdrawal - GHI Bank ATM,60.0,Cash Withdrawal,2023-10-24,14436,spending,October,none,1,0.0
48,Transfer to Emergency Fund,175.0,Transfers,2023-10-24,14436,spending,October,none,1,0.0
49,Target - Back-to-School Shopping,50.0,Shopping,2023-10-25,14436,spending,October,none,1,0.0
50,Transfer from Savings to Checking,250.0,Transfers,2023-10-26,14436,spending,October,none,1,0.0
51,Electronics Store - Gadget Purchase,180.75,Electronics,2023-10-28,14436,spending,October,none,1,0.0
52,Giant Food,45.0,Groceries,2023-10-28,14436,spending,October,none,1,0.0
53,Target - Discount Shopping,50.0,Shopping,2023-10-29,14436,spending,October,none,1,0.0
54,Coles,55.0,Groceries,2023-10-30,14436,spending,October,none,1,0.0
55,Transfer to Vacation Fund,400.0,Transfers,2023-10-30,14436,spending,October,none,1,0.0
56,Credit Card Payment - Mastercard **** 5678,150.0,Credit Card Payment,2023-10-30,14436,spending,October,none,1,0.0
57,Transfer from Savings to Checking,250.0,Transfers,2023-10-30,14436,spending,October,none,1,0.0
58,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2023-10-30,14436,spending,October,none,1,0.0
59,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2023-10-31,14436,spending,October,none,1,0.0
60,Fast Food - Lunch Combo,10.5,Dining Out,2023-10-31,14436,spending,October,none,1,0.0
61,Rent Payment - Apt #303,1500.0,Housing,2023-11-01,14436,spending,November,none,1,0.0
62,Paycheck Deposit - ABC Corp.,10813.912139444998,Income,2023-11-01,14436,income,November,none,1,0.0
63,Water Bill Payment - Municipality,65.75,Utilities,2023-11-01,14436,spending,November,none,1,0.0
64,Cotton On - Kids' Fashion,30.0,Shopping,2023-11-02,14436,spending,November,none,1,0.0
65,Kmart Super Centers,50.0,Groceries,2023-11-02,14436,spending,November,none,1,0.0
66,ATM Withdrawal - JKL Bank ATM,90.0,Cash Withdrawal,2023-11-02,14436,spending,November,none,1,0.0
67,Utilities Payment - Gas and Electric,95.0,Utilities,2023-11-02,14436,spending,November,none,1,0.0
68,Gas Station - Fuel Purchase,40.45,Transportation,2023-11-02,14436,spending,November,none,1,0.0
69,Coffee Shop - Morning Brew,4.75,Dining Out,2023-11-02,14436,spending,November,none,1,0.0
70,Credit Card Payment - Mastercard **** 2345,120.25,Credit Card Payment,2023-11-02,14436,spending,November,none,1,0.0
71,Credit Card Payment - Visa **** 1234,50.75,Credit Card Payment,2023-11-03,14436,spending,November,none,1,0.0
72,Online Retailer - Outdoor Gear,179.99,Online Shopping,2023-11-03,14436,spending,November,none,1,0.0
73,Phone Bill Payment - Mobile Co.,65.0,Utilities,2023-11-03,14436,spending,November,none,1,0.0
74,Utilities Payment - Internet Service,60.0,Utilities,2023-11-04,14436,spending,November,none,1,0.0
75,Home Health Aide - In-Home Care,140.0,Healthcare,2023-11-05,14436,spending,November,none,1,0.0
76,New Balance - Affordable Sportswear,45.0,Shopping,2023-11-05,14436,spending,November,none,1,0.0
77,Chase Credit Card Payment - Visa **** 1234,350.25,Credit Card Payment,2023-11-05,14436,spending,November,none,1,0.0
78,ATM Withdrawal - VWX Bank ATM,70.0,Cash Withdrawal,2023-11-05,14436,spending,November,none,1,0.0
79,Transfer to Savings Account - Rainy Day Fund,300.0,Transfers,2023-11-06,14436,spending,November,none,1,0.0
80,ATM Withdrawal - JKL Bank ATM,100.0,Cash Withdrawal,2023-11-07,14436,spending,November,none,1,0.0
81,Charitable Donation - Charity Name,50.0,Charity,2023-11-11,14436,spending,November,none,1,0.0
82,Price Chopper,40.0,Groceries,2023-11-11,14436,spending,November,none,1,0.0
83,ATM Withdrawal - PQR Bank ATM,80.0,Cash Withdrawal,2023-11-11,14436,spending,November,none,1,0.0
84,Fast Food - Lunch Combo,10.5,Dining Out,2023-11-11,14436,spending,November,none,1,0.0
85,Save Mart Supermarkets,45.0,Groceries,2023-11-12,14436,spending,November,none,1,0.0
86,Transfer from Savings to Checking,250.0,Transfers,2023-11-13,14436,spending,November,none,1,0.0
87,Kohl's - Department Store Purchase,60.0,Shopping,2023-11-13,14436,spending,November,none,1,0.0
88,ATM Withdrawal - DEF Bank ATM,80.0,Cash Withdrawal,2023-11-13,14436,spending,November,none,1,0.0
89,Lidl,35.0,Groceries,2023-11-13,14436,spending,November,none,1,0.0
90,Transfer to Vacation Fund,350.0,Transfers,2023-11-13,14436,spending,November,none,1,0.0
91,Transfer to Vacation Fund,300.0,Transfers,2023-11-14,14436,spending,November,none,1,0.0
92,Transfer from Checking to Savings,150.0,Transfers,2023-11-14,14436,spending,November,none,1,0.0
93,Online Shopping - Tech Accessories,59.99,Online Shopping,2023-11-14,14436,spending,November,none,1,0.0
94,Shaw's,40.0,Groceries,2023-11-14,14436,spending,November,none,1,0.0
95,Orthopedic Clinic - Knee Examination,140.0,Healthcare,2023-11-15,14436,spending,November,none,1,0.0
96,Transfer from Savings to Checking - Emergency Fund,500.0,Transfers,2023-11-15,14436,spending,November,none,1,0.0
97,Walmart Grocery,60.0,Groceries,2023-11-16,14436,spending,November,none,1,0.0
98,Home Depot - Home Improvement,110.3,Home Improvement,2023-11-16,14436,spending,November,none,1,0.0
99,Costco Wholesale,80.0,Groceries,2023-11-17,14436,spending,November,none,1,0.0
100,Online Retailer - Electronics Purchase,199.99,Online Shopping,2023-11-19,14436,spending,November,none,1,0.0
101,Monthly Service Fee - Bank Account,10.0,Bank Fees,2023-11-19,14436,spending,November,none,1,0.0
102,Electronics Store - Gadget Purchase,180.75,Electronics,2023-11-19,14436,spending,November,none,1,0.0
103,Online Retailer - Clothing Purchase,75.99,Online Shopping,2023-11-20,14436,spending,November,none,1,0.0
104,Savings Account Interest - October,15.6,Interest,2023-11-20,14436,spending,November,none,1,0.0
105,Home Improvement - Hardware Store,85.6,Home Improvement,2023-11-20,14436,spending,November,none,1,0.0
106,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2023-11-20,14436,spending,November,none,1,0.0
107,Transfer from Savings to Checking,175.0,Transfers,2023-11-20,14436,spending,November,none,1,0.0
108,Maternity Clinic - Prenatal Checkup,120.0,Healthcare,2023-11-22,14436,spending,November,none,1,0.0
109,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2023-11-22,14436,spending,November,none,1,0.0
110,Fuel Purchase - Gas Station,42.75,Transportation,2023-11-23,14436,spending,November,none,1,0.0
111,Sainsbury's,40.0,Groceries,2023-11-23,14436,spending,November,none,1,0.0
112,Coffee Shop - Afternoon Pick-Me-Up,5.75,Dining Out,2023-11-23,14436,spending,November,none,1,0.0
113,C&A - Budget Clothing,30.0,Shopping,2023-11-23,14436,spending,November,none,1,0.0
114,Meijer,50.0,Groceries,2023-11-23,14436,spending,November,none,1,0.0
115,Festival Foods,40.0,Groceries,2023-11-24,14436,spending,November,none,1,0.0
116,Online Shopping - Amazon,79.99,Online Shopping,2023-11-25,14436,spending,November,none,1,0.0
117,ATM Withdrawal - DEF Bank ATM,90.0,Cash Withdrawal,2023-11-26,14436,spending,November,none,1,0.0
118,Restaurant Lunch - Business Meeting,75.0,Dining Out,2023-11-26,14436,spending,November,none,1,0.0
119,Credit Card Payment - Discover **** 9012,120.5,Credit Card Payment,2023-11-27,14436,spending,November,none,1,0.0
120,Credit Card Payment - Visa **** 4567,95.75,Credit Card Payment,2023-11-28,14436,spending,November,none,1,0.0
121,Transfer to Vacation Fund,350.0,Transfers,2023-11-28,14436,spending,November,none,1,0.0
122,ATM Withdrawal - PQR Bank ATM,70.0,Cash Withdrawal,2023-11-28,14436,spending,November,none,1,0.0
123,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2023-11-28,14436,spending,November,none,1,0.0
124,Transfer to Emergency Fund,200.0,Transfers,2023-11-28,14436,spending,November,none,1,0.0
125,ATM Withdrawal - GHI Bank ATM,60.0,Cash Withdrawal,2023-11-29,14436,spending,November,none,1,0.0
126,Rent Payment - Apt #303,1500.0,Housing,2023-12-01,14436,spending,December,none,1,0.0
127,Water Bill Payment - Municipality,65.75,Utilities,2023-12-01,14436,spending,December,none,1,0.0
128,Paycheck Deposit - ABC Corp.,10813.912139444998,Income,2023-12-01,14436,income,December,none,1,0.0
129,Utilities Payment - Gas and Electric,95.0,Utilities,2023-12-02,14436,spending,December,none,1,0.0
130,Gas Station - Fuel Purchase,45.6,Transportation,2023-12-02,14436,spending,December,none,1,0.0
131,ATM Withdrawal - MNO Bank ATM,80.0,Cash Withdrawal,2023-12-02,14436,spending,December,none,1,0.0
132,Transfer to Investment Account,400.0,Transfers,2023-12-02,14436,spending,December,none,1,0.0
133,Payless ShoeSource - Inexpensive Shoes,20.0,Shopping,2023-12-02,14436,spending,December,none,1,0.0
134,Credit Card Payment - Mastercard **** 2345,120.25,Credit Card Payment,2023-12-02,14436,spending,December,none,1,0.0
135,Phone Bill Payment - Mobile Co.,65.0,Utilities,2023-12-03,14436,spending,December,none,1,0.0
136,Utilities Payment - Internet Service,60.0,Utilities,2023-12-04,14436,spending,December,none,1,0.0
137,Walmart - Household Supplies,75.2,Groceries,2023-12-04,14436,spending,December,none,1,0.0
138,Amazon Prime Membership Renewal,12.99,Online Shopping,2023-12-05,14436,spending,December,none,1,0.0
139,ATM Withdrawal - JKL Bank ATM,100.0,Cash Withdrawal,2023-12-05,14436,spending,December,none,1,0.0
140,Restaurant - Dinner with Friends,90.0,Dining Out,2023-12-05,14436,spending,December,none,1,0.0
141,Primark - Budget Fashion,20.0,Shopping,2023-12-05,14436,spending,December,none,1,0.0
142,Transfer to Vacation Fund,400.0,Transfers,2023-12-07,14436,spending,December,none,1,0.0
143,Online Retailer - Tech Gadgets,249.99,Online Shopping,2023-12-07,14436,spending,December,none,1,0.0
144,New Balance - Affordable Sportswear,45.0,Shopping,2023-12-07,14436,spending,December,none,1,0.0
145,Credit Card Payment - Visa **** 4567,95.75,Credit Card Payment,2023-12-10,14436,spending,December,none,1,0.0
146,Coffee Shop - Morning Brew,5.25,Dining Out,2023-12-10,14436,spending,December,none,1,0.0
147,Credit Card Payment - American Express **** 5678,175.0,Credit Card Payment,2023-12-10,14436,spending,December,none,1,0.0
148,Online Retailer - Home Decor,89.99,Online Shopping,2023-12-12,14436,spending,December,none,1,0.0
149,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2023-12-12,14436,spending,December,none,1,0.0
150,Transfer to Emergency Fund,200.0,Transfers,2023-12-12,14436,spending,December,none,1,0.0
151,Netflix Subscription - Monthly Charge,12.99,Streaming Services,2023-12-13,14436,spending,December,none,1,0.0
152,Transfer to Vacation Fund,350.0,Transfers,2023-12-14,14436,spending,December,none,1,0.0
153,Credit Card Payment - Mastercard **** 6789,150.5,Credit Card Payment,2023-12-14,14436,spending,December,none,1,0.0
154,Neurology Clinic - Neurological Assessment,170.0,Healthcare,2023-12-16,14436,spending,December,none,1,0.0
155,Pain Management Clinic - Chronic Pain Relief,160.0,Healthcare,2023-12-16,14436,spending,December,none,1,0.0
156,ATM Withdrawal - XYZ Bank ATM,70.0,Cash Withdrawal,2023-12-16,14436,spending,December,none,1,0.0
157,Wegmans,60.0,Groceries,2023-12-16,14436,spending,December,none,1,0.0
158,Credit Card Payment - Mastercard **** 5678,135.0,Credit Card Payment,2023-12-17,14436,spending,December,none,1,0.0
159,Transfer to Emergency Fund,175.0,Transfers,2023-12-17,14436,spending,December,none,1,0.0
160,Physiatrist - Physical Medicine,130.0,Healthcare,2023-12-18,14436,spending,December,none,1,0.0
161,Transfer from Checking to Savings,200.0,Transfers,2023-12-19,14436,spending,December,none,1,0.0
162,ATM Withdrawal - GHI Bank ATM,60.0,Cash Withdrawal,2023-12-20,14436,spending,December,none,1,0.0
163,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2023-12-20,14436,spending,December,none,1,0.0
164,Online Retailer - Electronics Purchase,299.99,Online Shopping,2023-12-22,14436,spending,December,none,1,0.0
165,Online Retailer - Clothing Purchase,75.99,Online Shopping,2023-12-22,14436,spending,December,none,1,0.0
166,Restaurant - Dinner with Friends,100.0,Dining Out,2023-12-22,14436,spending,December,none,1,0.0
167,Transfer from Savings to Checking,500.0,Transfers,2023-12-24,14436,spending,December,none,1,0.0
168,Fuel Purchase - Gas Station,42.75,Transportation,2023-12-24,14436,spending,December,none,1,0.0
169,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2023-12-24,14436,spending,December,none,1,0.0
170,Transfer to Investment Account,500.0,Transfers,2023-12-24,14436,spending,December,none,1,0.0
171,Grocery Shopping - Neighborhood Store,44.75,Groceries,2023-12-24,14436,spending,December,none,1,0.0
172,Aldi,30.0,Groceries,2023-12-24,14436,spending,December,none,1,0.0
173,Electronics Store Purchase - Tech Haven,249.99,Electronics,2023-12-24,14436,spending,December,none,1,0.0
174,Gelson's Markets,65.0,Groceries,2023-12-24,14436,spending,December,none,1,0.0
175,Morrisons,45.0,Groceries,2023-12-25,14436,spending,December,none,1,0.0
176,ATM Withdrawal - PQR Bank ATM,80.0,Cash Withdrawal,2023-12-25,14436,spending,December,none,1,0.0
177,Transfer from Savings to Checking - Emergency Fund,500.0,Transfers,2023-12-27,14436,spending,December,none,1,0.0
178,Home Improvement Store - DIY Supplies,75.4,Home Improvement,2023-12-27,14436,spending,December,none,1,0.0
179,Transfer from Savings to Checking,300.0,Transfers,2023-12-27,14436,spending,December,none,1,0.0
180,Grocery Store - Fresh Produce,35.45,Groceries,2023-12-29,14436,spending,December,none,1,0.0
181,Uniqlo - Affordable Denim,35.0,Shopping,2023-12-29,14436,spending,December,none,1,0.0
182,Gas Station - Fuel Purchase,40.45,Transportation,2023-12-29,14436,spending,December,none,1,0.0
183,Smith's Food and Drug,50.0,Groceries,2023-12-29,14436,spending,December,none,1,0.0
184,Lidl,35.0,Groceries,2023-12-29,14436,spending,December,none,1,0.0
185,Coffee Shop - Morning Espresso,4.5,Dining Out,2023-12-30,14436,spending,December,none,1,0.0
186,ATM Withdrawal - DEF Bank ATM,90.0,Cash Withdrawal,2023-12-30,14436,spending,December,none,1,0.0
187,ATM Withdrawal - MNO Bank ATM,80.0,Cash Withdrawal,2023-12-30,14436,spending,December,none,1,0.0
188,Car Loan Payment - Auto Finance Inc.,300.0,Loan Payment,2023-12-31,14436,spending,December,none,1,0.0
189,ATM Withdrawal - STU Bank ATM,100.0,Cash Withdrawal,2023-12-31,14436,spending,December,none,1,0.0
190,Rent Payment - Apt #303,1500.0,Housing,2024-01-01,14436,spending,January,none,1,0.0
191,Paycheck Deposit - ABC Corp.,10813.912139444998,Income,2024-01-01,14436,income,January,none,1,0.0
192,Water Bill Payment - Municipality,65.75,Utilities,2024-01-01,14436,spending,January,none,1,0.0
193,Credit Card Payment - Mastercard **** 5678,150.0,Credit Card Payment,2024-01-02,14436,spending,January,none,1,0.0
194,Utilities Payment - Gas and Electric,95.0,Utilities,2024-01-02,14436,spending,January,none,1,0.0
195,Coffee Shop - Morning Brew,5.25,Dining Out,2024-01-03,14436,spending,January,none,1,0.0
196,Transfer from Checking to Savings,150.0,Transfers,2024-01-03,14436,spending,January,none,1,0.0
197,Amazon Prime Membership Renewal,12.99,Online Shopping,2024-01-03,14436,spending,January,none,1,0.0
198,Phone Bill Payment - Mobile Co.,65.0,Utilities,2024-01-03,14436,spending,January,none,1,0.0
199,Car Loan Payment - Auto Finance Inc.,300.0,Loan Payment,2024-01-04,14436,spending,January,none,1,0.0
200,Credit Card Payment - American Express **** 6789,180.0,Credit Card Payment,2024-01-04,14436,spending,January,none,1,0.0
201,Utilities Payment - Internet Service,60.0,Utilities,2024-01-04,14436,spending,January,none,1,0.0
202,WinCo Foods,40.0,Groceries,2024-01-04,14436,spending,January,none,1,0.0
203,Credit Card Payment - Mastercard **** 5678,135.5,Credit Card Payment,2024-01-07,14436,spending,January,none,1,0.0
204,Gas Station - Fuel Purchase,43.6,Transportation,2024-01-07,14436,spending,January,none,1,0.0
205,Online Shopping - Apparel,69.99,Online Shopping,2024-01-07,14436,spending,January,none,1,0.0
206,ATM Withdrawal - VWX Bank ATM,70.0,Cash Withdrawal,2024-01-07,14436,spending,January,none,1,0.0
207,Physical Therapy Session - Back Pain,150.0,Healthcare,2024-01-08,14436,spending,January,none,1,0.0
208,Transfer to Emergency Fund,175.0,Transfers,2024-01-08,14436,spending,January,none,1,0.0
209,Savings Account Interest - October,15.6,Interest,2024-01-08,14436,spending,January,none,1,0.0
210,Transfer to Vacation Fund,300.0,Transfers,2024-01-08,14436,spending,January,none,1,0.0
211,ATM Withdrawal - JKL Bank ATM,90.0,Cash Withdrawal,2024-01-08,14436,spending,January,none,1,0.0
212,Transfer to Emergency Fund,200.0,Transfers,2024-01-08,14436,spending,January,none,1,0.0
213,Transfer to Investment Account,500.0,Transfers,2024-01-12,14436,spending,January,none,1,0.0
214,Woolworths,45.0,Groceries,2024-01-12,14436,spending,January,none,1,0.0
215,Fast Food - Lunch Combo,10.5,Dining Out,2024-01-13,14436,spending,January,none,1,0.0
216,ATM Withdrawal - DEF Bank ATM,90.0,Cash Withdrawal,2024-01-13,14436,spending,January,none,1,0.0
217,Zara - Clothing Purchase,150.0,Shopping,2024-01-13,14436,spending,January,none,1,0.0
218,Amazon Prime Membership Renewal,12.99,Online Shopping,2024-01-15,14436,spending,January,none,1,0.0
219,Marks & Spencer,55.0,Groceries,2024-01-15,14436,spending,January,none,1,0.0
220,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2024-01-15,14436,spending,January,none,1,0.0
221,Cotton On - Kids' Fashion,30.0,Shopping,2024-01-15,14436,spending,January,none,1,0.0
222,IGA,40.0,Groceries,2024-01-15,14436,spending,January,none,1,0.0
223,ATM Withdrawal - XYZ Bank Branch,100.0,Cash Withdrawal,2024-01-15,14436,spending,January,none,1,0.0
224,Hy-Vee,40.0,Groceries,2024-01-17,14436,spending,January,none,1,0.0
225,ATM Withdrawal - PQR Bank ATM,70.0,Cash Withdrawal,2024-01-18,14436,spending,January,none,1,0.0
226,Waitrose,60.0,Groceries,2024-01-18,14436,spending,January,none,1,0.0
227,Coffee Shop - Cappuccino,5.25,Dining Out,2024-01-19,14436,spending,January,none,1,0.0
228,Price Chopper,40.0,Groceries,2024-01-19,14436,spending,January,none,1,0.0
229,ATM Withdrawal - DEF Bank ATM,80.0,Cash Withdrawal,2024-01-20,14436,spending,January,none,1,0.0
230,Plastic Surgery Center - Cosmetic Procedure,300.0,Healthcare,2024-01-20,14436,spending,January,none,1,0.0
231,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2024-01-21,14436,spending,January,none,1,0.0
232,Fuel Purchase - Gas Station,45.6,Transportation,2024-01-21,14436,spending,January,none,1,0.0
233,Transfer from Checking to Savings,200.0,Transfers,2024-01-22,14436,spending,January,none,1,0.0
234,Credit Card Payment - Mastercard **** 5678,135.0,Credit Card Payment,2024-01-22,14436,spending,January,none,1,0.0
235,ATM Withdrawal - STU Bank ATM,100.0,Cash Withdrawal,2024-01-24,14436,spending,January,none,1,0.0
236,ATM Withdrawal - GHI Bank ATM,60.0,Cash Withdrawal,2024-01-24,14436,spending,January,none,1,0.0
237,Transfer from Savings to Checking,250.0,Transfers,2024-01-24,14436,spending,January,none,1,0.0
238,Transfer from Savings to Checking - Emergency Fund,500.0,Transfers,2024-01-24,14436,spending,January,none,1,0.0
239,Sainsbury's,40.0,Groceries,2024-01-24,14436,spending,January,none,1,0.0
240,Electronics Store Purchase - Tech Haven,249.99,Electronics,2024-01-26,14436,spending,January,none,1,0.0
241,Coffee Shop - Morning Brew,4.75,Dining Out,2024-01-28,14436,spending,January,none,1,0.0
242,Fuel Purchase - Gas Station,40.75,Transportation,2024-01-28,14436,spending,January,none,1,0.0
243,Old Navy - Family Apparel,55.0,Shopping,2024-01-28,14436,spending,January,none,1,0.0
244,Decathlon - Sportswear Shopping,60.0,Shopping,2024-01-29,14436,spending,January,none,1,0.0
245,Home Improvement - Renovation Supplies,120.3,Home Improvement,2024-01-29,14436,spending,January,none,1,0.0
246,Online Retailer - Tech Gadgets,249.99,Online Shopping,2024-01-30,14436,spending,January,none,1,0.0
247,Lidl,35.0,Groceries,2024-01-30,14436,spending,January,none,1,0.0
248,Credit Card Payment - Mastercard **** 2345,120.25,Credit Card Payment,2024-01-31,14436,spending,January,none,1,0.0
249,ATM Withdrawal - MNO Bank ATM,80.0,Cash Withdrawal,2024-01-31,14436,spending,January,none,1,0.0
250,Transfer to Savings Account - Rainy Day Fund,300.0,Transfers,2024-01-31,14436,spending,January,none,1,0.0
251,Rent Payment - Apt #303,1500.0,Housing,2024-02-01,14436,spending,February,none,1,0.0
252,Paycheck Deposit - ABC Corp.,10813.912139444998,Income,2024-02-01,14436,income,February,none,1,0.0
253,Netflix Subscription - Monthly Charge,12.99,Streaming Services,2024-02-01,14436,spending,February,none,1,0.0
254,Water Bill Payment - Municipality,65.75,Utilities,2024-02-01,14436,spending,February,none,1,0.0
255,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2024-02-02,14436,spending,February,none,1,0.0
256,ATM Withdrawal - PQR Bank ATM,70.0,Cash Withdrawal,2024-02-02,14436,spending,February,none,1,0.0
257,Infusion Center - IV Therapy,110.0,Healthcare,2024-02-02,14436,spending,February,none,1,0.0
258,Utilities Payment - Gas and Electric,95.0,Utilities,2024-02-02,14436,spending,February,none,1,0.0
259,Fast Food - Lunch on the Go,10.5,Dining Out,2024-02-02,14436,spending,February,none,1,0.0
260,Chase Credit Card Payment - Visa **** 1234,350.25,Credit Card Payment,2024-02-02,14436,spending,February,none,1,0.0
261,Transfer to Emergency Fund,200.0,Transfers,2024-02-02,14436,spending,February,none,1,0.0
262,Whole Foods Market - Grocery Shopping,50.75,Groceries,2024-02-03,14436,spending,February,none,1,0.0
263,Phone Bill Payment - Mobile Co.,65.0,Utilities,2024-02-03,14436,spending,February,none,1,0.0
264,Fast Food - Lunch on the Go,15.2,Dining Out,2024-02-04,14436,spending,February,none,1,0.0
265,Utilities Payment - Internet Service,60.0,Utilities,2024-02-04,14436,spending,February,none,1,0.0
266,Trader Joe's,50.0,Groceries,2024-02-05,14436,spending,February,none,1,0.0
267,Fuel Purchase - Gas Station,40.75,Transportation,2024-02-05,14436,spending,February,none,1,0.0
268,ATM Withdrawal - MNO Bank ATM,80.0,Cash Withdrawal,2024-02-05,14436,spending,February,none,1,0.0
269,ATM Withdrawal - MNO Bank ATM,80.0,Cash Withdrawal,2024-02-05,14436,spending,February,none,1,0.0
270,Amazon.com - Online Shopping,89.99,Online Shopping,2024-02-05,14436,spending,February,none,1,0.0
271,Albertsons,45.0,Groceries,2024-02-05,14436,spending,February,none,1,0.0
272,Restaurant - Dinner with Friends,90.0,Dining Out,2024-02-06,14436,spending,February,none,1,0.0
273,Nike - Sportswear Shopping,200.0,Shopping,2024-02-06,14436,spending,February,none,1,0.0
