,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,bank_to,bank_from,transac_prob,customer_prob,date_DF_created
29,,336.34,Transfers,2023-10-01,17216,spending,0,none,,,October,0,bank_B,bank_B,0.72,0.55,2024-02-03
30,,1195.59,Housing,2023-10-01,17216,spending,0,none,,,October,0,bank_E,bank_B,0.79,0.55,2024-02-03
31,,48.5,Cash Withdrawal,2023-10-01,17216,spending,0,none,,,October,0,,bank_B,0.1,0.55,2024-02-03
32,,23214.46302777965,Income,2023-10-01,17216,income,0,none,,,October,0,bank_B,bank_C,,0.55,2024-02-03
33,,22.41,Personal care,2023-10-01,17216,spending,0,none,,,October,0,bank_A,bank_B,0.23,0.55,2024-02-03
34,,8.61,Interest,2023-10-01,17216,spending,0,none,,,October,0,bank_A,bank_B,0.34,0.55,2024-02-03
35,,129.16,Utilities,2023-10-01,16898,spending,0,none,,,October,0,bank_E,bank_E,0.67,0.4,2024-02-03
36,,534.27,Transfers,2023-10-01,16898,spending,0,none,,,October,0,bank_D,bank_E,0.56,0.4,2024-02-03
37,,278.31,Online Shopping,2023-10-01,16898,spending,0,none,,,October,0,bank_C,bank_E,0.77,0.4,2024-02-03
38,,16332.339155997315,Income,2023-10-01,16898,income,0,none,,,October,0,bank_E,bank_A,,0.4,2024-02-03
39,,1081.4,Housing,2023-10-01,16898,spending,0,none,,,October,0,bank_B,bank_E,0.51,0.4,2024-02-03
40,,11.09,Utilities,2023-10-01,17747,spending,0,none,,,October,0,bank_B,bank_C,0.3,0.32,2024-02-03
41,,102.97,Groceries,2023-10-01,16898,spending,0,none,,,October,0,bank_A,bank_E,0.53,0.4,2024-02-03
42,,14243.649444520548,Income,2023-10-01,16400,income,0,none,,,October,0,bank_A,bank_C,,0.42,2024-02-03
43,,140.79,Loan Payment,2023-10-01,16400,spending,0,none,,,October,0,bank_C,bank_A,0.69,0.42,2024-02-03
44,,124.03,Cash Withdrawal,2023-10-01,16400,spending,0,none,,,October,0,,bank_A,0.29,0.42,2024-02-03
45,,258.19,Credit Card Payment,2023-10-01,16400,spending,0,none,,,October,0,bank_E,bank_A,0.69,0.42,2024-02-03
46,,1230.96,Housing,2023-10-01,16400,spending,0,none,,,October,0,bank_B,bank_A,0.63,0.42,2024-02-03
47,,343.53,Holiday,2023-10-01,16400,spending,0,none,,,October,0,bank_E,bank_A,0.58,0.42,2024-02-03
48,,4.4,Dining Out,2023-10-01,16400,spending,0,none,,,October,0,bank_C,bank_A,0.18,0.42,2024-02-03
49,,53.92,Groceries,2023-10-01,16400,spending,0,none,,,October,0,bank_A,bank_A,0.58,0.42,2024-02-03
50,,64.22,Transportation,2023-10-01,16400,spending,0,none,,,October,0,bank_D,bank_A,0.48,0.42,2024-02-03
51,,19.66,Utilities,2023-10-01,16400,spending,0,none,,,October,0,bank_B,bank_A,0.13,0.42,2024-02-03
52,,53.95,Groceries,2023-10-01,13021,spending,0,none,,,October,0,bank_B,bank_B,0.53,0.39,2024-02-03
53,,11.47,Charity,2023-10-01,16400,spending,0,none,,,October,0,bank_B,bank_A,0.34,0.42,2024-02-03
54,,19776.060468977943,Income,2023-10-01,17747,income,0,none,,,October,0,bank_C,bank_E,,0.32,2024-02-03
55,,31.41,Utilities,2023-10-01,17216,spending,0,none,,,October,0,bank_C,bank_B,0.11,0.55,2024-02-03
56,,14862.531105621709,Income,2023-10-01,17357,income,0,none,,,October,0,bank_D,bank_C,,0.38,2024-02-03
57,,42.47,Utilities,2023-10-01,17357,spending,0,none,,,October,0,bank_C,bank_D,0.58,0.38,2024-02-03
58,,15.47,Utilities,2023-10-01,12782,spending,0,none,,,October,1,bank_D,bank_D,0.33,0.6,2024-02-03
59,,13678.156870444662,Income,2023-10-01,12782,income,0,none,,,October,1,bank_D,bank_A,,0.6,2024-02-03
60,,2041.29,Housing,2023-10-01,17357,spending,0,none,,,October,0,bank_B,bank_D,0.66,0.38,2024-02-03
61,,56.72,Cash Withdrawal,2023-10-02,13021,spending,0,none,,,October,0,,bank_B,0.13,0.39,2024-02-03
62,,34.12,Dining Out,2023-10-02,16898,spending,0,none,,,October,0,bank_A,bank_E,0.54,0.4,2024-02-03
63,,47.5,Dining Out,2023-10-02,16898,spending,0,none,,,October,0,bank_A,bank_E,0.32,0.4,2024-02-03
64,,38.39,Healthcare,2023-10-02,19746,spending,0,none,,,October,0,bank_B,bank_B,0.32,0.68,2024-02-03
65,,130.53,Utilities,2023-10-02,19746,spending,0,none,,,October,0,bank_C,bank_B,0.6,0.68,2024-02-03
66,,10.2,Personal care,2023-10-02,17357,spending,0,none,,,October,0,bank_D,bank_D,0.33,0.38,2024-02-03
67,,113.18,Utilities,2023-10-02,17357,spending,0,none,,,October,0,bank_C,bank_D,0.49,0.38,2024-02-03
68,,56.54,Cash Withdrawal,2023-10-02,17357,spending,0,none,,,October,0,,bank_D,0.23,0.38,2024-02-03
69,,77.45,Cash Withdrawal,2023-10-02,16898,spending,0,none,,,October,0,,bank_E,0.28,0.4,2024-02-03
70,,10.65,Utilities,2023-10-02,16239,spending,0,none,,,October,0,bank_D,bank_A,0.1,0.65,2024-02-03
71,,976.11,Transfers,2023-10-02,16239,spending,0,none,,,October,0,bank_C,bank_A,0.6,0.65,2024-02-03
72,,96.13,Groceries,2023-10-02,16239,spending,0,none,,,October,0,bank_D,bank_A,0.47,0.65,2024-02-03
73,,27.61,Cash Withdrawal,2023-10-02,17357,spending,0,none,,,October,0,,bank_D,0.21,0.38,2024-02-03
74,,769.73,Transfers,2023-10-02,13021,spending,0,none,,,October,0,bank_B,bank_B,0.66,0.39,2024-02-03
75,,65.71,Cash Withdrawal,2023-10-02,13021,spending,0,none,,,October,0,,bank_B,0.14,0.39,2024-02-03
76,,18.84,Entertainment,2023-10-02,13021,spending,0,none,,,October,0,bank_C,bank_B,0.14,0.39,2024-02-03
77,,177.22,Home Improvement,2023-10-02,13021,spending,0,none,,,October,0,bank_A,bank_B,0.69,0.39,2024-02-03
78,,73.72,Utilities,2023-10-02,13021,spending,0,none,,,October,0,bank_A,bank_B,0.61,0.39,2024-02-03
79,,378.48,Transfers,2023-10-02,16400,spending,0,none,,,October,0,bank_C,bank_A,0.73,0.42,2024-02-03
80,,106.55,Utilities,2023-10-02,16400,spending,0,none,,,October,0,bank_B,bank_A,0.6,0.42,2024-02-03
81,,118.49,Utilities,2023-10-02,17216,spending,0,none,,,October,0,bank_C,bank_B,0.56,0.55,2024-02-03
82,,26.61,Utilities,2023-10-02,12782,spending,0,none,,,October,1,bank_D,bank_D,0.35,0.6,2024-02-03
83,,121.06,Groceries,2023-10-02,12782,spending,0,none,,,October,1,bank_C,bank_D,0.65,0.6,2024-02-03
84,,28.04,Groceries,2023-10-02,17216,spending,0,none,,,October,0,bank_D,bank_B,0.28,0.55,2024-02-03
85,,2.65,Dining Out,2023-10-02,17216,spending,0,none,,,October,0,bank_A,bank_B,0.15,0.55,2024-02-03
86,,188.04,Investment,2023-10-02,17747,spending,0,none,,,October,0,bank_E,bank_C,0.59,0.32,2024-02-03
87,,42.04,Cash Withdrawal,2023-10-02,12782,spending,0,none,,,October,1,,bank_D,0.2,0.6,2024-02-03
88,,181.36,Transfers,2023-10-02,12782,spending,0,none,,,October,1,bank_B,bank_D,0.42,0.6,2024-02-03
89,,146.54,Utilities,2023-10-02,19583,spending,0,none,,,October,0,bank_C,bank_B,0.43,0.29,2024-02-03
90,,219.86,Transfers,2023-10-02,17747,spending,0,none,,,October,0,bank_C,bank_C,0.57,0.32,2024-02-03
91,,48.46,Groceries,2023-10-02,17747,spending,0,none,,,October,0,bank_E,bank_C,0.31,0.32,2024-02-03
92,,30.33,Personal care,2023-10-02,17747,spending,0,none,,,October,0,bank_E,bank_C,0.33,0.32,2024-02-03
93,,97.23,Utilities,2023-10-02,17747,spending,0,none,,,October,0,bank_B,bank_C,0.54,0.32,2024-02-03
94,,9.87,Cash Withdrawal,2023-10-02,17747,spending,0,none,,,October,0,,bank_C,0.28,0.32,2024-02-03
95,,53.65,Groceries,2023-10-02,16898,spending,0,none,,,October,0,bank_C,bank_E,0.59,0.4,2024-02-03
96,,30.79,Utilities,2023-10-02,16898,spending,0,none,,,October,0,bank_E,bank_E,0.42,0.4,2024-02-03
97,,33.68,Dining Out,2023-10-02,12782,spending,0,none,,,October,1,bank_E,bank_D,0.58,0.6,2024-02-03
98,,186.79,Online Shopping,2023-10-02,12782,spending,0,none,,,October,1,bank_D,bank_D,0.5,0.6,2024-02-03
99,,109.0,Utilities,2023-10-03,13021,spending,0,none,,,October,0,bank_A,bank_B,0.54,0.39,2024-02-03
100,,210.9,Shopping,2023-10-03,13021,spending,0,none,,,October,0,bank_C,bank_B,0.6,0.39,2024-02-03
101,,52.58,Cash Withdrawal,2023-10-03,16400,spending,0,none,,,October,0,,bank_A,0.1,0.42,2024-02-03
102,,44.84,Groceries,2023-10-03,17357,spending,0,none,,,October,0,bank_C,bank_D,0.57,0.38,2024-02-03
103,,4.84,Dining Out,2023-10-03,16400,spending,0,none,,,October,0,bank_E,bank_A,0.34,0.42,2024-02-03
104,,26.0,Utilities,2023-10-03,17216,spending,0,none,,,October,0,bank_C,bank_B,0.1,0.55,2024-02-03
105,,62.0,Credit Card Payment,2023-10-03,16898,spending,0,none,,,October,0,bank_B,bank_E,0.35,0.4,2024-02-03
106,,90.5,Utilities,2023-10-03,16898,spending,0,none,,,October,0,bank_E,bank_E,0.48,0.4,2024-02-03
107,,13.25,Cash Withdrawal,2023-10-03,16898,spending,0,none,,,October,0,,bank_E,0.15,0.4,2024-02-03
108,,707.59,Transfers,2023-10-03,12782,spending,0,none,,,October,1,bank_A,bank_D,0.66,0.6,2024-02-03
109,,12.08,Utilities,2023-10-03,12782,spending,0,none,,,October,1,bank_D,bank_D,0.31,0.6,2024-02-03
110,,70.54,Cash Withdrawal,2023-10-03,13021,spending,0,none,,,October,0,,bank_B,0.21,0.39,2024-02-03
111,,16.23,Utilities,2023-10-03,16400,spending,0,none,,,October,0,bank_B,bank_A,0.13,0.42,2024-02-03
112,,45.96,Cash Withdrawal,2023-10-03,17747,spending,0,none,,,October,0,,bank_C,0.27,0.32,2024-02-03
113,,66.53,Cash Withdrawal,2023-10-03,13021,spending,0,none,,,October,0,,bank_B,0.12,0.39,2024-02-03
114,,21.02,Utilities,2023-10-03,17747,spending,0,none,,,October,0,bank_B,bank_C,0.12,0.32,2024-02-03
115,,11.41,Transportation,2023-10-03,16239,spending,0,none,,,October,0,bank_C,bank_A,0.29,0.65,2024-02-03
116,,14.48,Groceries,2023-10-03,19746,spending,0,none,,,October,0,bank_B,bank_B,0.3,0.68,2024-02-03
117,,26.71,Groceries,2023-10-03,19746,spending,0,none,,,October,0,bank_A,bank_B,0.5,0.68,2024-02-03
118,,18.3,Utilities,2023-10-03,19746,spending,0,none,,,October,0,bank_C,bank_B,0.37,0.68,2024-02-03
119,,1081.92,Transfers,2023-10-03,19746,spending,0,none,,,October,0,bank_D,bank_B,0.66,0.68,2024-02-03
120,,43.6,Transportation,2023-10-03,19746,spending,0,none,,,October,0,bank_B,bank_B,0.33,0.68,2024-02-03
121,,26.7,Utilities,2023-10-03,19583,spending,0,none,,,October,0,bank_C,bank_B,0.38,0.29,2024-02-03
122,,34.62,Entertainment,2023-10-03,16239,spending,0,none,,,October,0,bank_A,bank_A,0.59,0.65,2024-02-03
123,,19.54,Groceries,2023-10-03,17357,spending,0,none,,,October,0,bank_E,bank_D,0.22,0.38,2024-02-03
124,,13.16,Transportation,2023-10-03,17357,spending,0,none,,,October,0,bank_A,bank_D,0.23,0.38,2024-02-03
125,,113.7,Utilities,2023-10-03,16239,spending,0,none,,,October,0,bank_D,bank_A,0.69,0.65,2024-02-03
126,,33.62,Utilities,2023-10-03,17357,spending,0,none,,,October,0,bank_C,bank_D,0.53,0.38,2024-02-03
127,,304.21,Credit Card Payment,2023-10-03,17357,spending,0,none,,,October,0,bank_D,bank_D,0.68,0.38,2024-02-03
128,,204.64,Credit Card Payment,2023-10-03,17747,spending,0,none,,,October,0,bank_B,bank_C,0.53,0.32,2024-02-03
129,,170.66,Credit Card Payment,2023-10-03,17747,spending,0,none,,,October,0,bank_D,bank_C,0.63,0.32,2024-02-03
130,,86.86,Cash Withdrawal,2023-10-03,17747,spending,0,none,,,October,0,,bank_C,0.14,0.32,2024-02-03
131,,346.31,Loan Payment,2023-10-03,17357,spending,0,none,,,October,0,bank_D,bank_D,0.79,0.38,2024-02-03
132,,328.43,Online Shopping,2023-10-04,16898,spending,0,none,,,October,0,bank_B,bank_E,0.61,0.4,2024-02-03
133,,477.75,Transfers,2023-10-04,17747,spending,0,none,,,October,0,bank_A,bank_C,0.72,0.32,2024-02-03
134,,30.43,Online Shopping,2023-10-04,17747,spending,0,none,,,October,0,bank_E,bank_C,0.56,0.32,2024-02-03
135,,180.59,Credit Card Payment,2023-10-04,17747,spending,0,none,,,October,0,Intrnl,bank_C,0.69,0.32,2024-02-03
136,,128.04,Transfers,2023-10-04,19583,spending,0,none,,,October,0,bank_A,bank_B,0.45,0.29,2024-02-03
137,,40.38,Entertainment,2023-10-04,17747,spending,0,none,,,October,0,bank_A,bank_C,0.48,0.32,2024-02-03
138,,12.63,Utilities,2023-10-04,17747,spending,0,none,,,October,0,bank_B,bank_C,0.29,0.32,2024-02-03
139,,142.19,Utilities,2023-10-04,16898,spending,0,none,,,October,0,bank_E,bank_E,0.49,0.4,2024-02-03
140,,98.09,Cash Withdrawal,2023-10-04,16400,spending,0,none,,,October,0,,bank_A,0.3,0.42,2024-02-03
141,,96.5,Utilities,2023-10-04,17357,spending,0,none,,,October,0,bank_C,bank_D,0.56,0.38,2024-02-03
142,,95.41,Groceries,2023-10-04,17216,spending,0,none,,,October,0,bank_C,bank_B,0.43,0.55,2024-02-03
143,,176.99,Utilities,2023-10-04,17216,spending,0,none,,,October,0,bank_C,bank_B,0.69,0.55,2024-02-03
144,,1023.93,Transfers,2023-10-04,19583,spending,0,none,,,October,0,bank_D,bank_B,0.55,0.29,2024-02-03
145,,44.9,Cash Withdrawal,2023-10-04,19583,spending,0,none,,,October,0,,bank_B,0.19,0.29,2024-02-03
146,,142.63,Cash Withdrawal,2023-10-04,19583,spending,0,none,,,October,0,,bank_B,0.16,0.29,2024-02-03
147,,16.4,Utilities,2023-10-04,13021,spending,0,none,,,October,0,bank_A,bank_B,0.23,0.39,2024-02-03
148,,1184.47,Shopping,2023-10-04,13021,spending,0,none,,,October,0,bank_A,bank_B,0.75,0.39,2024-02-03
149,,534.81,Transfers,2023-10-04,16239,spending,0,none,,,October,0,bank_D,bank_A,0.52,0.65,2024-02-03
150,,39.35,Groceries,2023-10-04,17747,spending,0,none,,,October,0,bank_C,bank_C,0.59,0.32,2024-02-03
151,,30.99,Groceries,2023-10-05,16400,spending,0,none,,,October,0,bank_A,bank_A,0.3,0.42,2024-02-03
152,,18.52,Transportation,2023-10-05,16400,spending,0,none,,,October,0,bank_C,bank_A,0.2,0.42,2024-02-03
153,,140.33,Shopping,2023-10-05,16400,spending,0,none,,,October,0,bank_D,bank_A,0.66,0.42,2024-02-03
154,,17.6,Healthcare,2023-10-05,16400,spending,0,none,,,October,0,bank_D,bank_A,0.1,0.42,2024-02-03
155,,3.67,Dining Out,2023-10-05,17216,spending,0,none,,,October,0,bank_E,bank_B,0.1,0.55,2024-02-03
156,,23.15,Personal care,2023-10-05,19583,spending,0,none,,,October,0,bank_B,bank_B,0.36,0.29,2024-02-03
157,,89.63,Transportation,2023-10-05,19583,spending,0,none,,,October,0,bank_E,bank_B,0.65,0.29,2024-02-03
158,,122.66,Transportation,2023-10-05,17216,spending,0,none,,,October,0,bank_D,bank_B,0.46,0.55,2024-02-03
159,,537.8,Transfers,2023-10-05,17216,spending,0,none,,,October,0,bank_D,bank_B,0.65,0.55,2024-02-03
160,,16.84,Healthcare,2023-10-05,12782,spending,0,none,,,October,1,bank_E,bank_D,0.25,0.6,2024-02-03
161,,57.36,Cash Withdrawal,2023-10-05,17216,spending,0,none,,,October,0,,bank_B,0.25,0.55,2024-02-03
162,,18.57,Personal care,2023-10-05,13021,spending,0,none,,,October,0,bank_C,bank_B,0.17,0.39,2024-02-03
163,,181.21,Online Shopping,2023-10-05,17357,spending,0,none,,,October,0,bank_A,bank_D,0.75,0.38,2024-02-03
164,,33.45,Groceries,2023-10-05,13021,spending,0,none,,,October,0,bank_E,bank_B,0.44,0.39,2024-02-03
165,,132.43,Healthcare,2023-10-05,19746,spending,0,none,,,October,0,bank_B,bank_B,0.44,0.68,2024-02-03
166,,54.09,Online Shopping,2023-10-05,19746,spending,0,none,,,October,0,bank_A,bank_B,0.46,0.68,2024-02-03
167,,49.02,Groceries,2023-10-05,16898,spending,0,none,,,October,0,bank_A,bank_E,0.39,0.4,2024-02-03
168,,21.22,Cash Withdrawal,2023-10-05,17357,spending,0,none,,,October,0,,bank_D,0.17,0.38,2024-02-03
169,,13.36,Groceries,2023-10-05,17357,spending,0,none,,,October,0,bank_C,bank_D,0.35,0.38,2024-02-03
170,,21.13,Entertainment,2023-10-06,17357,spending,0,none,,,October,0,bank_B,bank_D,0.33,0.38,2024-02-03
171,,48.89,Dining Out,2023-10-06,17357,spending,0,none,,,October,0,bank_A,bank_D,0.43,0.38,2024-02-03
172,,615.05,Holiday,2023-10-06,17357,spending,0,none,,,October,0,bank_C,bank_D,0.77,0.38,2024-02-03
173,,18.88,Dining Out,2023-10-06,17747,spending,0,none,,,October,0,bank_E,bank_C,0.39,0.32,2024-02-03
174,,39.38,Healthcare,2023-10-06,19583,spending,0,none,,,October,0,bank_E,bank_B,0.43,0.29,2024-02-03
175,,17.59,Cash Withdrawal,2023-10-06,13021,spending,0,none,,,October,0,,bank_B,0.27,0.39,2024-02-03
176,,170.53,Credit Card Payment,2023-10-06,13021,spending,0,none,,,October,0,bank_D,bank_B,0.52,0.39,2024-02-03
177,,60.99,Cash Withdrawal,2023-10-06,13021,spending,0,none,,,October,0,,bank_B,0.24,0.39,2024-02-03
178,,87.41,Online Shopping,2023-10-06,17357,spending,0,none,,,October,0,bank_C,bank_D,0.64,0.38,2024-02-03
179,,46.3,Cash Withdrawal,2023-10-06,17747,spending,0,none,,,October,0,,bank_C,0.21,0.32,2024-02-03
180,,54.06,Healthcare,2023-10-06,12782,spending,0,none,,,October,1,bank_E,bank_D,0.56,0.6,2024-02-03
181,,66.24,Credit Card Payment,2023-10-06,12782,spending,0,none,,,October,1,bank_E,bank_D,0.42,0.6,2024-02-03
182,,7.72,Cash Withdrawal,2023-10-06,17357,spending,0,none,,,October,0,,bank_D,0.11,0.38,2024-02-03
183,,1006.69,Home Improvement,2023-10-06,17357,spending,0,none,,,October,0,bank_D,bank_D,0.77,0.38,2024-02-03
184,,16.53,Cash Withdrawal,2023-10-06,12782,spending,0,none,,,October,1,,bank_D,0.11,0.6,2024-02-03
185,,46.04,Groceries,2023-10-06,13021,spending,0,none,,,October,0,bank_C,bank_B,0.35,0.39,2024-02-03
186,,191.08,Transfers,2023-10-06,16400,spending,0,none,,,October,0,bank_E,bank_A,0.72,0.42,2024-02-03
187,,8.36,Charity,2023-10-06,12782,spending,0,none,,,October,1,bank_D,bank_D,0.28,0.6,2024-02-03
188,,179.16,Online Shopping,2023-10-06,12782,spending,0,none,,,October,1,bank_D,bank_D,0.61,0.6,2024-02-03
189,,22.36,Dining Out,2023-10-07,19746,spending,0,none,,,October,0,bank_D,bank_B,0.13,0.68,2024-02-03
190,,52.99,Transfers,2023-10-07,19746,spending,0,none,,,October,0,bank_E,bank_B,0.55,0.68,2024-02-03
191,,36.2,Groceries,2023-10-07,17216,spending,0,none,,,October,0,bank_B,bank_B,0.55,0.55,2024-02-03
192,,273.66,Online Shopping,2023-10-07,16898,spending,0,none,,,October,0,Intrnl,bank_E,0.67,0.4,2024-02-03
193,,39.07,Groceries,2023-10-07,17357,spending,0,none,,,October,0,bank_C,bank_D,0.47,0.38,2024-02-03
194,,48.38,Healthcare,2023-10-07,17357,spending,0,none,,,October,0,bank_A,bank_D,0.4,0.38,2024-02-03
195,,10.62,Interest,2023-10-07,16898,spending,0,none,,,October,0,bank_E,bank_E,0.36,0.4,2024-02-03
196,,1143.62,Shopping,2023-10-07,16898,spending,0,none,,,October,0,bank_D,bank_E,0.74,0.4,2024-02-03
197,,23.29,Entertainment,2023-10-07,17216,spending,0,none,,,October,0,bank_E,bank_B,0.11,0.55,2024-02-03
198,,690.37,Transfers,2023-10-07,17216,spending,0,none,,,October,0,bank_A,bank_B,0.53,0.55,2024-02-03
199,,1641.1,Shopping,2023-10-07,17216,spending,0,none,,,October,0,bank_A,bank_B,0.67,0.55,2024-02-03
200,,82.74,Groceries,2023-10-07,16239,spending,0,none,,,October,0,bank_A,bank_A,0.52,0.65,2024-02-03
201,,82.22,Cash Withdrawal,2023-10-07,12782,spending,0,none,,,October,1,,bank_D,0.24,0.6,2024-02-03
202,,137.93,Groceries,2023-10-07,12782,spending,0,none,,,October,1,bank_B,bank_D,0.69,0.6,2024-02-03
203,,429.08,Transfers,2023-10-08,13021,spending,0,none,,,October,0,bank_A,bank_B,0.75,0.39,2024-02-03
204,,32.77,Cash Withdrawal,2023-10-08,16400,spending,0,none,,,October,0,,bank_A,0.23,0.42,2024-02-03
205,,663.51,Transfers,2023-10-08,16400,spending,0,none,,,October,0,bank_C,bank_A,0.51,0.42,2024-02-03
206,,1249.68,Transfers,2023-10-08,17357,spending,0,none,,,October,0,bank_C,bank_D,0.7,0.38,2024-02-03
207,,296.69,Transfers,2023-10-08,17357,spending,0,none,,,October,0,bank_A,bank_D,0.58,0.38,2024-02-03
208,,13.44,Cash Withdrawal,2023-10-08,17357,spending,0,none,,,October,0,,bank_D,0.27,0.38,2024-02-03
209,,209.46,Home Improvement,2023-10-08,19583,spending,0,none,,,October,0,bank_B,bank_B,0.79,0.29,2024-02-03
210,,122.73,Online Shopping,2023-10-08,19583,spending,0,none,,,October,0,bank_C,bank_B,0.59,0.29,2024-02-03
211,,11.44,Groceries,2023-10-08,19583,spending,0,none,,,October,0,bank_E,bank_B,0.12,0.29,2024-02-03
212,,218.23,Shopping,2023-10-08,19583,spending,0,none,,,October,0,bank_B,bank_B,0.64,0.29,2024-02-03
213,,100.38,Online Shopping,2023-10-08,13021,spending,0,none,,,October,0,bank_B,bank_B,0.54,0.39,2024-02-03
214,,78.47,Cash Withdrawal,2023-10-08,19746,spending,0,none,,,October,0,,bank_B,0.22,0.68,2024-02-03
215,,87.66,Cash Withdrawal,2023-10-08,19746,spending,0,none,,,October,0,,bank_B,0.25,0.68,2024-02-03
216,,161.85,Shopping,2023-10-08,19746,spending,0,none,,,October,0,bank_C,bank_B,0.42,0.68,2024-02-03
217,,108.73,Shopping,2023-10-08,19746,spending,0,none,,,October,0,bank_C,bank_B,0.54,0.68,2024-02-03
218,,27.61,Healthcare,2023-10-08,16239,spending,0,none,,,October,0,bank_C,bank_A,0.35,0.65,2024-02-03
219,,7.16,Dining Out,2023-10-08,16239,spending,0,none,,,October,0,bank_D,bank_A,0.24,0.65,2024-02-03
220,,30.86,Cash Withdrawal,2023-10-08,16239,spending,0,none,,,October,0,,bank_A,0.12,0.65,2024-02-03
221,,9.04,Dining Out,2023-10-08,19746,spending,0,none,,,October,0,bank_E,bank_B,0.34,0.68,2024-02-03
222,,26.08,Online Shopping,2023-10-08,19746,spending,0,none,,,October,0,bank_D,bank_B,0.38,0.68,2024-02-03
223,,458.21,Credit Card Payment,2023-10-08,17747,spending,0,none,,,October,0,bank_A,bank_C,0.76,0.32,2024-02-03
224,,106.8,Cash Withdrawal,2023-10-08,17747,spending,0,none,,,October,0,,bank_C,0.13,0.32,2024-02-03
225,,752.71,Transfers,2023-10-08,17216,spending,0,none,,,October,0,bank_E,bank_B,0.71,0.55,2024-02-03
226,,40.01,Cash Withdrawal,2023-10-08,16400,spending,0,none,,,October,0,,bank_A,0.23,0.42,2024-02-03
227,,8.19,Cash Withdrawal,2023-10-08,16400,spending,0,none,,,October,0,,bank_A,0.22,0.42,2024-02-03
228,,49.18,Entertainment,2023-10-08,19583,spending,0,none,,,October,0,bank_B,bank_B,0.44,0.29,2024-02-03
