"",transaction_description,Category,Subcategory,Amount,origin,date,customer_id,type,fraud_type,customer_scammed,bank_to,bank_from,factor_increase,newAmount
982,TFL,Transportation,Transportation,4.405870956568334,non-fraud,2024-03-21T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,8.665922241852716
3736,First Bus,Transportation,Transportation,11.61657233084274,non-fraud,2024-03-04T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,22.84867476335484
12545,Five Guys,Dining Out,fast_food,6.251682104128839,non-fraud,2024-03-05T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,12.2964543286034
2930,Monthly Service Fee - Current Account Maintenance,Bank Fees,Bank Fees,3.298384268032032,non-fraud,2024-03-26T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,6.4876029898023075
2800,Monthly Service Fee - Bank Account,Bank Fees,Bank Fees,1.0834108909594264,non-fraud,2024-03-27T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,5.083410890959426
4720,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,2.018354363528117,non-fraud,2024-03-14T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,3.96990791225129
9513,Carpetright,Home Improvement,Home Improvement,305.62218707379526,non-fraud,2024-03-29T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,601.1292964942734
2857,Transfer to Emergency Fund,Transfers,Transfers,262.96789903342966,non-fraud,2024-03-15T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,517.2324354460999
10864,Transfer to Emergency Fund,Transfers,Transfers,77.18700703146492,non-fraud,2024-03-27T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,151.81938091464374
11709,Transfer to Investment Account,Transfers,Transfers,55.346245996308774,non-fraud,2024-03-26T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,108.8607153751134
13862,Transfer from Savings to Current,Transfers,Transfers,116.50278447450364,non-fraud,2024-03-18T00:00:00.000000000,1,income,none,0,bank_C,bank_B,1.9669033267834224,229.14971436243326
1459,Transfer to Savings Account - Rainy Day Fund,Transfers,Transfers,59.12614621587833,non-fraud,2024-03-12T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,116.29541369189414
10085,Transfer to Emergency Fund,Transfers,Transfers,321.24737970118787,non-fraud,2024-03-28T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,631.8625398547237
15911,Transfer from Savings to Current - Emergency Fund,Transfers,Transfers,123.25604569481742,non-fraud,2024-03-26T00:00:00.000000000,1,income,none,0,bank_C,bank_B,1.9669033267834224,242.4327263233059
2965,GPDQ,Healthcare,Healthcare,32.12513923341174,non-fraud,2024-03-16T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,63.18704323157819
9973,Marie Curie,Charity,Charity,7.3792319573125384,non-fraud,2024-03-06T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,14.514235885944577
11287,Marie Curie,Charity,Charity,1.5890026400738255,non-fraud,2024-03-30T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,5.589002640073826
13234,WaterAid,Charity,Charity,6.833513878903346,non-fraud,2024-03-07T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,13.440861182035679
10356,Alzheimer's Society,Charity,Charity,3.5311169779418345,non-fraud,2024-03-14T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,6.945365731175219
656,Savings Account Interest - October,Interest,Interest,3.9283676379602905,non-fraud,2024-03-04T00:00:00.000000000,1,income,none,0,bank_C,bank_E,1.9669033267834224,7.72671937593243
680,Interest Earned - Savings Account,Interest,Interest,2.5640724419373093,non-fraud,2024-03-21T00:00:00.000000000,1,income,none,0,bank_C,bank_E,1.9669033267834224,5.043282616160187
852,Interest Earned - Savings Account,Interest,Interest,1.6812931974518508,non-fraud,2024-03-08T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,5.681293197451851
4684,Invest Engine,Investment,Investment,55.67528189652608,non-fraud,2024-03-29T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,109.507897181882
29871,Mango - Fashion Shopping,Shopping,Shopping,88.53473295603253,non-fraud,2024-03-05T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,174.13926078710227
18739,Uniqlo - Affordable Denim,Shopping,Shopping,14.53375647057423,non-fraud,2024-03-31T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,28.586493952632544
138,Farnell,Electronics,Electronics,132.48911406554942,non-fraud,2024-03-06T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,260.59327921811746
69,SAAS,Loan Payment,Loan Payment,60.83151521090706,non-fraud,2024-03-04T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,119.64970964160945
8011,Online Shopping - Amazon,Online Shopping,Online Shopping,59.03385565850031,non-fraud,2024-03-21T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,116.11388708755662
8825,Old Navy - Family Apparel,Online Shopping,Online Shopping,22.418580177001168,non-fraud,2024-03-27T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,44.09517993190448
543,Zara - Affordable Fashion,Online Shopping,Online Shopping,13.875684670139616,non-fraud,2024-03-31T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,27.292130339095348
2181,CeX,Online Shopping,Online Shopping,45.25848681159767,non-fraud,2024-03-29T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,89.0190682749151
7485,Zara - Affordable Fashion,Online Shopping,Online Shopping,26.764261639627314,non-fraud,2024-03-04T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,52.6427152578849
2023,Rituals ,Personal care,Personal care,6.360023193224781,non-fraud,2024-03-27T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,12.509550777173548
1543,Boots ,Personal care,Personal care,11.343713291638142,non-fraud,2024-03-18T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,22.311987411400388
5089,Superdrug ,Personal care,Personal care,8.474680747060402,non-fraud,2024-03-19T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,16.668877754820524
5250,Waterstones ,Personal care,Personal care,7.511648843985356,non-fraud,2024-03-02T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,14.774687100863646
9330,Credit Card Payment - American Express **** 3456,Credit Card Payment,Credit Card Payment,83.59518181984346,non-fraud,2024-03-12T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,164.42364122451517
2246,Paycheck Deposit - Company Name,Income,Income,2015.8143668837563,non-fraud,2024-03-29T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,3964.9119844014785
5147,Rent,Housing,Housing,606.6980610384904,non-fraud,2024-03-01T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,1193.3164346096587
2308,Acme Markets,Groceries,Groceries,22.839906634596502,non-fraud,2024-04-13T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,44.923888343010624
10016,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,26.463314169916362,non-fraud,2024-04-24T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,52.050780678523374
2218,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,29.520940462179627,non-fraud,2024-04-05T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,58.06483600483645
3192,Vue,Entertainment,Entertainment,9.830950677224426,non-fraud,2024-04-20T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,19.336529592476463
2515,Everyman cinema ,Entertainment,Entertainment,7.567825704998068,non-fraud,2024-04-05T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,14.885181555677798
409,DesignMyNight ,Entertainment,Entertainment,12.619730563212578,non-fraud,2024-04-28T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,24.82179002789325
3391,Cinemacity,Entertainment,Entertainment,17.984620789926478,non-fraud,2024-04-20T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,35.37401046264469
11041,Jet2Holidays,Holiday,Holiday,265.36344089232887,non-fraud,2024-04-29T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,521.9442346978177
2604,Fuel Purchase - Gas Station,Transportation,Fuel,41.478586592028115,non-fraud,2024-04-06T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,81.58436995813436
3153,Gas Station - Fuel Purchase,Transportation,Fuel,21.15460080421517,non-fraud,2024-04-13T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,41.609054698586085
710,Fuel Purchase - Gas Station,Transportation,Fuel,30.97752621558064,non-fraud,2024-04-21T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,60.92979936894624
6696,Fuel Purchase - Gas Station,Transportation,Fuel,68.58392203066117,non-fraud,2024-04-12T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,134.8979444059623
730,Gas Station - Fuel Purchase,Transportation,Fuel,31.988709713809435,non-fraud,2024-04-29T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,62.91869955560096
2011,Virgin Trains,Transportation,Transportation,7.636040464799217,non-fraud,2024-04-07T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,15.019353393666412
5885,Gas Station - Fuel Purchase,Transportation,Fuel,33.27275225124283,non-fraud,2024-04-13T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,65.44428709421013
427,The Green Dragon,Dining Out,bars,10.30444136290299,non-fraud,2024-04-02T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,20.267839997338594
15995,Swiss Chalet,Dining Out,restaurants,6.536579042121873,non-fraud,2024-04-24T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,12.856819063732308
5564,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,3.053613659333791,non-fraud,2024-04-01T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,6.006162865254934
6584,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,3.382649559551098,non-fraud,2024-04-10T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,6.653344672023533
7,Toolstation,Home Improvement,Home Improvement,249.25271968046923,non-fraud,2024-04-25T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,490.2560035493307
415,Transfer to Emergency Fund,Transfers,Transfers,118.90233896633231,non-fraud,2024-04-27T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,233.86940607520918
15661,Transfer from Current to Savings,Transfers,Transfers,32.113101334623295,non-fraud,2024-04-23T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,63.16336584840372
2489,Transfer from Savings to Current,Transfers,Transfers,152.96959253761207,non-fraud,2024-04-19T00:00:00.000000000,1,income,none,0,bank_C,bank_A,1.9669033267834224,300.87640045893374
16016,Transfer from Savings to Current,Transfers,Transfers,169.50164020706703,non-fraud,2024-04-05T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,333.3933400185268
9000,Transfer from Current to Savings,Transfers,Transfers,114.37608902187961,non-fraud,2024-04-03T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,224.9667100016119
1737,Transfer to Investment Account,Transfers,Transfers,13.699128821242526,non-fraud,2024-04-09T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,26.94486205253659
12479,Health centre ,Healthcare,Healthcare,57.66956046247732,non-fraud,2024-04-12T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,113.43045032778437
4767,The Priory Group,Healthcare,Healthcare,24.192163931831043,non-fraud,2024-04-16T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,47.5836477196084
16086,GPDQ,Healthcare,Healthcare,20.568756396511183,non-fraud,2024-04-15T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,40.45675538409564
2813,Marie Curie,Charity,Charity,0.9309308396392109,non-fraud,2024-04-10T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,4.930930839639211
6181,The Salvation Army,Charity,Charity,4.016645562408836,non-fraud,2024-04-25T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,7.900353519211811
2029,The Royal British Legion,Charity,Charity,14.943045029381127,non-fraud,2024-04-04T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,29.39152498056422
4556,The Children's Society,Charity,Charity,7.74438155389516,non-fraud,2024-04-12T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,15.23244984223656
1185,Savings Account Interest - October,Interest,Interest,2.4477060869824077,non-fraud,2024-04-02T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,4.81440124547373
550,Savings Account Interest - October,Interest,Interest,1.3281814996576673,non-fraud,2024-04-06T00:00:00.000000000,1,income,none,0,bank_C,bank_B,1.9669033267834224,5.328181499657667
283,Savings Account Interest - October,Interest,Interest,3.049601026404311,non-fraud,2024-04-27T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,5.998270404196779
5372,Trading 212,Investment,Investment,72.82126240419137,non-fraud,2024-04-24T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,143.23238328337257
21548,PacSun - Casual Wear,Shopping,Shopping,41.482599224957596,non-fraud,2024-04-03T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,81.59226241919251
23849,Clothing Store Purchase - Fashion World,Shopping,Shopping,71.67364938636028,non-fraud,2024-04-26T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,140.97513942074065
5087,Richer Sounds,Electronics,Electronics,253.01656936832086,non-fraud,2024-04-09T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,497.65913202187886
8549,RS Components,Electronics,Electronics,344.84567395945595,non-fraud,2024-04-04T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,678.2781033377253
1574,Lease purchase ,Loan Payment,Loan Payment,106.70794749364455,non-fraud,2024-04-13T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,209.88421691948022
904,Car Loan,Loan Payment,Loan Payment,84.47796106432891,non-fraud,2024-04-17T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,166.15998265730894
485,Online Shopping - Amazon,Online Shopping,Online Shopping,66.99090675765787,non-fraud,2024-04-21T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,131.7646373658753
10978,Currys PC World,Online Shopping,Online Shopping,48.95412173964816,non-fraud,2024-04-14T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,96.28802490947463
11160,Ebay ,Online Shopping,Online Shopping,44.155012755990846,non-fraud,2024-04-08T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,86.84864148392285
10236,Old Navy - Family Apparel,Online Shopping,Online Shopping,62.79770534635194,non-fraud,2024-04-21T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,123.51701556010474
8225,Online Shopping - Tech Accessories,Online Shopping,Online Shopping,35.00219704384843,non-fraud,2024-04-02T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,68.84593781027435
776,Boots ,Personal care,Personal care,5.027829060637634,non-fraud,2024-04-20T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,9.889253705866532
345,Superdrug ,Personal care,Personal care,4.237340373530201,non-fraud,2024-04-23T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,8.334438877410262
