"",transaction_description,category,Subcategory,Amount,origin,date,customer_id,type
1868,Sallys,Personal care,Personal care,11.744208160818845,non-fraud,2024-02-21T00:00:00.000000000,1,spending
718,Payless ShoeSource - Inexpensive Shoes,Online Shopping,Online Shopping,51.0906500665728,non-fraud,2024-02-03T00:00:00.000000000,1,spending
1419,H&M - Accessories,Online Shopping,Online Shopping,127.10788026943196,non-fraud,2024-02-10T00:00:00.000000000,1,spending
3340,Amazon Prime Membership Renewal,Online Shopping,Online Shopping,120.82965019485265,non-fraud,2024-02-15T00:00:00.000000000,1,spending
4035,SLC,Loan Payment,Loan Payment,70.01134344201732,non-fraud,2024-02-12T00:00:00.000000000,1,spending
11724,Macmillan Cancer Support,Charity,Charity,10.439827026602597,non-fraud,2024-02-28T00:00:00.000000000,1,spending
13629,Guide Dogs,Charity,Charity,8.738875803961623,non-fraud,2024-02-02T00:00:00.000000000,1,spending
9052,Guide Dogs,Charity,Charity,8.065184448926855,non-fraud,2024-02-21T00:00:00.000000000,1,spending
3950,E.ON UK,Utilities,Bills,85.16700995386329,non-fraud,2024-02-02T00:00:00.000000000,1,spending
8615,So Energy,Utilities,Bills,30.473783421359887,non-fraud,2024-02-02T00:00:00.000000000,1,spending
2440,Virgin Mobile ,Utilities,Mobile,15.198668087699247,non-fraud,2024-02-02T00:00:00.000000000,1,spending
220,npower,Utilities,Bills,17.673647675699314,non-fraud,2024-02-02T00:00:00.000000000,1,spending
25294,Zara - Clothing Purchase,Shopping,Shopping,36.38411112475001,non-fraud,2024-02-16T00:00:00.000000000,1,spending
24561,Payless ShoeSource - Inexpensive Shoes,Shopping,Shopping,45.094319211476105,non-fraud,2024-02-04T00:00:00.000000000,1,spending
33888,Zalando - Affordable Online Shopping,Shopping,Shopping,69.57177177773931,non-fraud,2024-02-29T00:00:00.000000000,1,spending
35740,Zara - Affordable Fashion,Shopping,Shopping,81.57398939367785,non-fraud,2024-02-08T00:00:00.000000000,1,spending
12162,Boohoo - Cheap Fashion Finds,Shopping,Shopping,59.26094947869657,non-fraud,2024-02-05T00:00:00.000000000,1,spending
3518,Electronics Store Purchase - Tech Haven,Electronics,Electronics,354.1562007747662,non-fraud,2024-02-22T00:00:00.000000000,1,spending
14876,Raising Cane's,Dining Out,fast_food,8.42830886724347,non-fraud,2024-02-26T00:00:00.000000000,1,spending
12678,Counter Culture Coffee,Dining Out,cafes,2.8667717235522003,non-fraud,2024-02-13T00:00:00.000000000,1,spending
7893,Medica,Healthcare,Healthcare,13.696827720755074,non-fraud,2024-02-06T00:00:00.000000000,2,spending
16896,Optum / United Health,Healthcare,Healthcare,29.280053953730864,non-fraud,2024-02-18T00:00:00.000000000,2,spending
27010,Price Chopper,Groceries,Groceries,10.248018883805802,non-fraud,2024-02-08T00:00:00.000000000,2,spending
11162,Co-op,Groceries,Groceries,4.971856110861022,non-fraud,2024-02-16T00:00:00.000000000,2,spending
792,Coles,Groceries,Groceries,2.2406659695719586,non-fraud,2024-02-13T00:00:00.000000000,2,spending
4108,Grocery Shopping - Fresh Mart,Groceries,Groceries,4.57671163920002,non-fraud,2024-02-09T00:00:00.000000000,2,spending
8227,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,2.6297545872611434,non-fraud,2024-02-09T00:00:00.000000000,2,spending
3296,Interactive Brokers ,Investment,Investment,26.032602261344476,non-fraud,2024-02-02T00:00:00.000000000,2,spending
4183,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,1.2338802467575314,non-fraud,2024-02-09T00:00:00.000000000,2,spending
943,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,0.3996863621398629,non-fraud,2024-02-10T00:00:00.000000000,2,spending
6232,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,0.8281380306458522,non-fraud,2024-02-09T00:00:00.000000000,2,spending
993,Savings Account Interest - October,Interest,Interest,0.7963447972938177,non-fraud,2024-02-19T00:00:00.000000000,2,income
439,Savings Account Interest - October,Interest,Interest,1.0188974307580596,non-fraud,2024-02-12T00:00:00.000000000,2,income
2685,Cinemacity,Entertainment,Entertainment,3.6456240910332944,non-fraud,2024-02-02T00:00:00.000000000,2,spending
3966,Cinemacity,Entertainment,Entertainment,4.214874364384008,non-fraud,2024-02-05T00:00:00.000000000,2,spending
2698,Art Gallery and Museum ,Entertainment,Entertainment,7.277622510630003,non-fraud,2024-02-20T00:00:00.000000000,2,spending
602,Paintball ,Entertainment,Entertainment,8.410067203359615,non-fraud,2024-02-12T00:00:00.000000000,2,spending
1169,Gas Station - Fuel Purchase,Transportation,Fuel,5.759117127197115,non-fraud,2024-02-22T00:00:00.000000000,2,spending
6110,Gas Station - Fuel Purchase,Transportation,Fuel,6.544864180040254,non-fraud,2024-02-25T00:00:00.000000000,2,spending
4822,Fuel Purchase - Gas Station,Transportation,Fuel,11.375921686056552,non-fraud,2024-02-10T00:00:00.000000000,2,spending
5980,Virgin Trains,Transportation,Transportation,0.988618160898979,non-fraud,2024-02-14T00:00:00.000000000,2,spending
763,Fuel Purchase - Gas Station,Transportation,Fuel,11.860390003801841,non-fraud,2024-02-28T00:00:00.000000000,2,spending
4720,National express,Transportation,Transportation,7.67882283626282,non-fraud,2024-02-26T00:00:00.000000000,2,spending
2796,Paycheck Deposit - X Employer,Income,Income,570.2282937671621,non-fraud,2024-02-23T00:00:00.000000000,2,income
769,Credit Card Payment - Visa **** 1234,Credit Card Payment,Credit Card Payment,56.013621312313056,non-fraud,2024-02-18T00:00:00.000000000,2,spending
15004,Transfer to Investment Account,Transfers,Transfers,62.26174864773432,non-fraud,2024-02-20T00:00:00.000000000,2,spending
7295,Transfer from Current to Savings,Transfers,Transfers,142.02188734703128,non-fraud,2024-02-28T00:00:00.000000000,2,spending
10065,Transfer to Emergency Fund,Transfers,Transfers,75.33179548240642,non-fraud,2024-02-25T00:00:00.000000000,2,spending
2434,Haven Holidays,Holiday,Holiday,74.57935562640827,non-fraud,2024-02-04T00:00:00.000000000,2,spending
5768,Direct Debit Mortg. TSB ,Housing,Housing,189.6466369448861,non-fraud,2024-02-02T00:00:00.000000000,2,spending
8811,Wilko,Home Improvement,Home Improvement,44.29251594986299,non-fraud,2024-02-08T00:00:00.000000000,2,spending
19315,Howdens,Home Improvement,Home Improvement,21.634538314313033,non-fraud,2024-02-11T00:00:00.000000000,2,spending
1139,Sallys,Personal care,Personal care,3.2186863860202597,non-fraud,2024-02-22T00:00:00.000000000,2,spending
3570,Sanctuary spa,Personal care,Personal care,5.323095641226355,non-fraud,2024-02-04T00:00:00.000000000,2,spending
3290,Waterstones ,Personal care,Personal care,4.043796489680203,non-fraud,2024-02-24T00:00:00.000000000,2,spending
68,Boots ,Personal care,Personal care,5.250425393564562,non-fraud,2024-02-16T00:00:00.000000000,2,spending
5796,Zara - Affordable Fashion,Online Shopping,Online Shopping,11.71050761799939,non-fraud,2024-02-16T00:00:00.000000000,2,spending
5489,H&M - Accessories,Online Shopping,Online Shopping,21.1152488362298,non-fraud,2024-02-07T00:00:00.000000000,2,spending
9771,Urban Outfitters - Affordable Fashion,Online Shopping,Online Shopping,13.109409885488912,non-fraud,2024-02-10T00:00:00.000000000,2,spending
781,Payless ShoeSource - Inexpensive Shoes,Online Shopping,Online Shopping,21.504337453918986,non-fraud,2024-02-08T00:00:00.000000000,2,spending
3412,Lease purchase ,Loan Payment,Loan Payment,18.751951823728568,non-fraud,2024-02-02T00:00:00.000000000,2,spending
8538,The Children's Society,Charity,Charity,0.8720429719415189,non-fraud,2024-02-17T00:00:00.000000000,2,spending
11252,NSPCC (National Society for the Prevention of Cruelty to Children),Charity,Charity,1.4715725151513135,non-fraud,2024-02-24T00:00:00.000000000,2,spending
4424,EDF Energy,Utilities,Bills,18.37346095049006,non-fraud,2024-02-02T00:00:00.000000000,2,spending
896,Three,Utilities,Mobile,2.505609580838913,non-fraud,2024-02-02T00:00:00.000000000,2,spending
10475,OVO Energy,Utilities,Bills,17.375759008633356,non-fraud,2024-02-02T00:00:00.000000000,2,spending
5547,H&M - Accessories,Shopping,Shopping,25.63442986269757,non-fraud,2024-02-09T00:00:00.000000000,2,spending
12532,Uniqlo - Affordable Denim,Shopping,Shopping,20.633808445470418,non-fraud,2024-02-28T00:00:00.000000000,2,spending
29155,Forever 21 - Accessories,Shopping,Shopping,12.936818047292153,non-fraud,2024-02-02T00:00:00.000000000,2,spending
1964,Forever 21 - Fashion Shopping,Shopping,Shopping,27.10146048737002,non-fraud,2024-02-14T00:00:00.000000000,2,spending
1183,John Lewis & Partners,Electronics,Electronics,153.8262607015938,non-fraud,2024-02-17T00:00:00.000000000,2,spending
1716,CeX,Electronics,Electronics,29.113517969505924,non-fraud,2024-02-20T00:00:00.000000000,2,spending
12927,Hemingway's,Dining Out,bars,5.161101547480276,non-fraud,2024-02-04T00:00:00.000000000,2,spending
7928,Mediterranean Grill,Dining Out,restaurants,6.066451716266783,non-fraud,2024-02-14T00:00:00.000000000,2,spending
13122,InHealth Group,Healthcare,Healthcare,7.7921956692697885,non-fraud,2024-02-07T00:00:00.000000000,3,spending
16442,Nuffield Health,Healthcare,Healthcare,47.46331933806713,non-fraud,2024-02-29T00:00:00.000000000,3,spending
38827,Albertsons,Groceries,Groceries,50.7035999077087,non-fraud,2024-02-21T00:00:00.000000000,3,spending
22373,IGA,Groceries,Groceries,14.016638823407607,non-fraud,2024-02-09T00:00:00.000000000,3,spending
33759,Food City,Groceries,Groceries,26.422838800825698,non-fraud,2024-02-20T00:00:00.000000000,3,spending
3455,ShopRite,Groceries,Groceries,5.0369870411913285,non-fraud,2024-02-06T00:00:00.000000000,3,spending
13678,Grocery Shopping - Neighborhood Store,Groceries,Groceries,8.343237394885481,non-fraud,2024-02-12T00:00:00.000000000,3,spending
19288,HEB Grocery,Groceries,Groceries,25.060756788916482,non-fraud,2024-02-10T00:00:00.000000000,3,spending
4181,ATM Withdrawal - XYZ Bank ATM,Cash Withdrawal,Cash Withdrawal,25.66224599645474,non-fraud,2024-02-14T00:00:00.000000000,3,spending
8330,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,28.762825846926138,non-fraud,2024-02-20T00:00:00.000000000,3,spending
3791,Interactive Brokers ,Investment,Investment,62.51995240418605,non-fraud,2024-02-11T00:00:00.000000000,3,spending
1286,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,1.2340230193365505,non-fraud,2024-02-17T00:00:00.000000000,3,spending
3544,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,2.3244647439704202,non-fraud,2024-02-07T00:00:00.000000000,3,spending
976,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,1.1292474799589187,non-fraud,2024-02-29T00:00:00.000000000,3,spending
115,Interest Earned - Savings Account,Interest,Interest,3.4808762526568735,non-fraud,2024-02-15T00:00:00.000000000,3,income
371,Interest Earned - Savings Account,Interest,Interest,3.0384906419513174,non-fraud,2024-02-19T00:00:00.000000000,3,income
1191,Savings Account Interest - October,Interest,Interest,1.6220805725870378,non-fraud,2024-02-03T00:00:00.000000000,3,income
2561,Vue,Entertainment,Entertainment,16.647669034445915,non-fraud,2024-02-02T00:00:00.000000000,3,spending
2511,DesignMyNight ,Entertainment,Entertainment,19.5813841370196,non-fraud,2024-02-14T00:00:00.000000000,3,spending
1022,Paintball ,Entertainment,Entertainment,23.434795640796942,non-fraud,2024-02-12T00:00:00.000000000,3,spending
664,Cinemacity,Entertainment,Entertainment,9.096069048191428,non-fraud,2024-02-07T00:00:00.000000000,3,spending
3446,Paintball ,Entertainment,Entertainment,17.625574068637142,non-fraud,2024-02-25T00:00:00.000000000,3,spending
6430,TFL,Transportation,Transportation,7.233392792589088,non-fraud,2024-02-28T00:00:00.000000000,3,spending
4272,Gas Station - Fuel Purchase,Transportation,Fuel,28.654169732016,non-fraud,2024-02-11T00:00:00.000000000,3,spending
4962,Fuel Purchase - Gas Station,Transportation,Fuel,37.292330867371845,non-fraud,2024-02-25T00:00:00.000000000,3,spending
2232,Fuel Purchase - Gas Station,Transportation,Fuel,17.101696371748986,non-fraud,2024-02-04T00:00:00.000000000,3,spending
2468,National express,Transportation,Transportation,24.74643017078359,non-fraud,2024-02-07T00:00:00.000000000,3,spending
3242,Fuel Purchase - Gas Station,Transportation,Fuel,32.04579274742526,non-fraud,2024-02-25T00:00:00.000000000,3,spending
1971,Trainline ,Transportation,Transportation,4.342364020872955,non-fraud,2024-02-07T00:00:00.000000000,3,spending
311,LNER,Transportation,Transportation,5.0641510699188625,non-fraud,2024-02-05T00:00:00.000000000,3,spending
2447,Paycheck Deposit - XYZ Ltd.,Income,Income,1305.8330695655532,non-fraud,2024-02-23T00:00:00.000000000,3,income
8005,Credit Card Payment - Discover **** 9012,Credit Card Payment,Credit Card Payment,174.94022558085229,non-fraud,2024-02-10T00:00:00.000000000,3,spending
5674,Credit Card Payment - Visa **** 1234,Credit Card Payment,Credit Card Payment,78.8765782736941,non-fraud,2024-02-21T00:00:00.000000000,3,spending
6892,Credit Card Payment - American Express **** 5678,Credit Card Payment,Credit Card Payment,236.30376647635188,non-fraud,2024-02-16T00:00:00.000000000,3,spending
2537,Transfer from Savings to Current,Transfers,Transfers,154.96302273951719,non-fraud,2024-02-10T00:00:00.000000000,3,spending
466,Transfer from Current to Savings,Transfers,Transfers,46.019745239975315,non-fraud,2024-02-02T00:00:00.000000000,3,spending
2143,Transfer to Investment Account,Transfers,Transfers,56.83102867353389,non-fraud,2024-02-20T00:00:00.000000000,3,spending
11711,Transfer from Current to Savings,Transfers,Transfers,280.185314597917,non-fraud,2024-02-19T00:00:00.000000000,3,spending
14475,Transfer to Emergency Fund,Transfers,Transfers,234.10348014942159,non-fraud,2024-02-07T00:00:00.000000000,3,spending
11215,Transfer to Vacation Fund,Transfers,Transfers,9.243530918426613,non-fraud,2024-02-22T00:00:00.000000000,3,spending
807,Transfer to Emergency Fund,Transfers,Transfers,70.03274663511549,non-fraud,2024-02-25T00:00:00.000000000,3,spending
2465,Fred. Olsen Cruise Lines,Holiday,Holiday,138.8081867976994,non-fraud,2024-02-02T00:00:00.000000000,3,spending
11522,Hoseasons,Holiday,Holiday,252.21412615962188,non-fraud,2024-02-16T00:00:00.000000000,3,spending
1653,Rent payment ,Housing,Housing,378.0340266500274,non-fraud,2024-02-02T00:00:00.000000000,3,spending
18168,Ikea,Home Improvement,Home Improvement,89.21055091675457,non-fraud,2024-02-11T00:00:00.000000000,3,spending
8849,Carpetright,Home Improvement,Home Improvement,135.8589493929957,non-fraud,2024-02-29T00:00:00.000000000,3,spending
1486,Sanctuary spa,Personal care,Personal care,6.228323729670325,non-fraud,2024-02-16T00:00:00.000000000,3,spending
9443,Online Shopping - Tech Accessories,Online Shopping,Online Shopping,56.419687667088375,non-fraud,2024-02-20T00:00:00.000000000,3,spending
1470,Online Shopping - Electronics,Online Shopping,Online Shopping,66.99037541763165,non-fraud,2024-02-06T00:00:00.000000000,3,spending
10871,Online Shopping - Electronics,Online Shopping,Online Shopping,27.48611649673203,non-fraud,2024-02-09T00:00:00.000000000,3,spending
3192,Urban Outfitters - Affordable Fashion,Online Shopping,Online Shopping,41.08753373816162,non-fraud,2024-02-15T00:00:00.000000000,3,spending
2903,Car Loan,Loan Payment,Loan Payment,56.978490543769084,non-fraud,2024-02-15T00:00:00.000000000,3,spending
12638,The Royal British Legion,Charity,Charity,2.0062575503050204,non-fraud,2024-02-26T00:00:00.000000000,3,spending
3858,CuriosityStream,Utilities,TV,12.406199977418085,non-fraud,2024-02-02T00:00:00.000000000,3,spending
7050,E.ON UK,Utilities,Bills,26.589703548723403,non-fraud,2024-02-02T00:00:00.000000000,3,spending
1176,Virgin Mobile ,Utilities,Mobile,7.834882000127344,non-fraud,2024-02-02T00:00:00.000000000,3,spending
5694,EDF Energy,Utilities,Bills,26.28701865718802,non-fraud,2024-02-02T00:00:00.000000000,3,spending
24786,PacSun - Casual Wear,Shopping,Shopping,48.899132285093934,non-fraud,2024-02-16T00:00:00.000000000,3,spending
23952,New Look - Fashion Bargains,Shopping,Shopping,72.92377540683161,non-fraud,2024-02-16T00:00:00.000000000,3,spending
29293,Gap - Fashion Purchase,Shopping,Shopping,54.01373083693536,non-fraud,2024-02-23T00:00:00.000000000,3,spending
5710,Currys PC World,Electronics,Electronics,135.2341767322624,non-fraud,2024-02-16T00:00:00.000000000,3,spending
1549,Scan,Electronics,Electronics,29.06163016292901,non-fraud,2024-02-02T00:00:00.000000000,3,spending
8448,Dutch Bros Coffee,Dining Out,cafes,1.2883510767916184,non-fraud,2024-02-14T00:00:00.000000000,3,spending
18703,InHealth Group,Healthcare,Healthcare,83.01009908540175,non-fraud,2024-02-24T00:00:00.000000000,4,spending
12729,Vita Health Group,Healthcare,Healthcare,24.45857772434802,non-fraud,2024-02-23T00:00:00.000000000,4,spending
34299,Grocery Store - Weekly Shopping,Groceries,Groceries,11.797182749825742,non-fraud,2024-02-28T00:00:00.000000000,4,spending
37422,Trader Joe's,Groceries,Groceries,5.253861619980534,non-fraud,2024-02-03T00:00:00.000000000,4,spending
29577,IGA,Groceries,Groceries,15.336337574773463,non-fraud,2024-02-03T00:00:00.000000000,4,spending
2909,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,7.755047265001728,non-fraud,2024-02-14T00:00:00.000000000,4,spending
4117,Etorro,Investment,Investment,76.68626042532074,non-fraud,2024-02-10T00:00:00.000000000,4,spending
4479,AJ Bells ,Investment,Investment,80.26656821334925,non-fraud,2024-02-19T00:00:00.000000000,4,spending
2923,Isa fund,Investment,Investment,101.46491675140823,non-fraud,2024-02-25T00:00:00.000000000,4,spending
4662,Monthly Service Fee - Bank Account,Bank Fees,Bank Fees,7.2657842594857,non-fraud,2024-02-27T00:00:00.000000000,4,spending
2868,Monthly Service Fee - Account Maintenance,Bank Fees,Bank Fees,3.155060502860373,non-fraud,2024-02-23T00:00:00.000000000,4,spending
533,Savings Account Interest - October,Interest,Interest,2.2176874549091026,non-fraud,2024-02-20T00:00:00.000000000,4,income
708,Savings Account Interest - October,Interest,Interest,3.4522763473327265,non-fraud,2024-02-13T00:00:00.000000000,4,income
553,Savings Account Interest - October,Interest,Interest,2.016495190958586,non-fraud,2024-02-03T00:00:00.000000000,4,income
1908,Cinemacity,Entertainment,Entertainment,9.076514635040349,non-fraud,2024-02-09T00:00:00.000000000,4,spending
3936,Vue,Entertainment,Entertainment,6.675925121994411,non-fraud,2024-02-22T00:00:00.000000000,4,spending
2369,Cinemacity,Entertainment,Entertainment,18.7245982017583,non-fraud,2024-02-21T00:00:00.000000000,4,spending
2018,Trainline ,Transportation,Transportation,13.425011067243556,non-fraud,2024-02-18T00:00:00.000000000,4,spending
1156,Paycheck Deposit - Company Payroll,Income,Income,1330.4707238504054,non-fraud,2024-02-23T00:00:00.000000000,4,income
8236,Credit Card Payment - American Express **** 3456,Credit Card Payment,Credit Card Payment,64.98967380747025,non-fraud,2024-02-14T00:00:00.000000000,4,spending
1648,Chase Credit Card Payment - Visa **** 1234,Credit Card Payment,Credit Card Payment,44.94360823567334,non-fraud,2024-02-22T00:00:00.000000000,4,spending
37,Credit Card Payment - Visa **** 7890,Credit Card Payment,Credit Card Payment,108.36489689462026,non-fraud,2024-02-21T00:00:00.000000000,4,spending
10100,Credit Card Payment - American Express **** 5678,Credit Card Payment,Credit Card Payment,148.0454984074062,non-fraud,2024-02-21T00:00:00.000000000,4,spending
9574,Transfer from Savings to Current,Transfers,Transfers,99.45756666335647,non-fraud,2024-02-12T00:00:00.000000000,4,spending
10545,Transfer to Vacation Fund,Transfers,Transfers,202.8109471650275,non-fraud,2024-02-09T00:00:00.000000000,4,spending
2212,Transfer to Emergency Fund,Transfers,Transfers,16.0908085645879,non-fraud,2024-02-16T00:00:00.000000000,4,spending
3622,Transfer from Savings to Current,Transfers,Transfers,153.5508503573249,non-fraud,2024-02-16T00:00:00.000000000,4,spending
112,Transfer to Investment Account,Transfers,Transfers,68.34135402282773,non-fraud,2024-02-28T00:00:00.000000000,4,spending
8483,Transfer to Investment Account,Transfers,Transfers,44.55951391358599,non-fraud,2024-02-26T00:00:00.000000000,4,spending
5168,Kuoni,Holiday,Holiday,274.6640207040824,non-fraud,2024-02-06T00:00:00.000000000,4,spending
599,Eurocamp,Holiday,Holiday,181.27422981941538,non-fraud,2024-02-24T00:00:00.000000000,4,spending
2671,House rent,Housing,Housing,956.3262737256994,non-fraud,2024-02-02T00:00:00.000000000,4,spending
19632,Ikea,Home Improvement,Home Improvement,178.70445590259288,non-fraud,2024-02-16T00:00:00.000000000,4,spending
4259,Boots ,Personal care,Personal care,13.150657980038307,non-fraud,2024-02-20T00:00:00.000000000,4,spending
4227,Sanctuary spa,Personal care,Personal care,10.388836902172125,non-fraud,2024-02-17T00:00:00.000000000,4,spending
3956,Waterstones ,Personal care,Personal care,6.781093805423091,non-fraud,2024-02-17T00:00:00.000000000,4,spending
1776,Superdrug ,Personal care,Personal care,6.319266108627588,non-fraud,2024-02-09T00:00:00.000000000,4,spending
3711,Waterstones ,Personal care,Personal care,9.58406784637006,non-fraud,2024-02-21T00:00:00.000000000,4,spending
8321,Online Shopping - Tech Accessories,Online Shopping,Online Shopping,45.803247908916454,non-fraud,2024-02-25T00:00:00.000000000,4,spending
2226,Online Shopping - Electronics,Online Shopping,Online Shopping,43.82333312958524,non-fraud,2024-02-16T00:00:00.000000000,4,spending
256,Lease purchase ,Loan Payment,Loan Payment,78.97253615203115,non-fraud,2024-02-26T00:00:00.000000000,4,spending
3468,Age UK,Charity,Charity,10.228797601302396,non-fraud,2024-02-02T00:00:00.000000000,4,spending
5159,Cancer Research UK,Charity,Charity,8.86617726818299,non-fraud,2024-02-14T00:00:00.000000000,4,spending
122,EE,Utilities,Mobile,8.550671217896952,non-fraud,2024-02-02T00:00:00.000000000,4,spending
716,Lebara,Utilities,Mobile,14.110893785256682,non-fraud,2024-02-02T00:00:00.000000000,4,spending
3615,CuriosityStream,Utilities,TV,10.946688179489467,non-fraud,2024-02-02T00:00:00.000000000,4,spending
18112,C&A - Budget Clothing,Shopping,Shopping,128.98253139809478,non-fraud,2024-02-29T00:00:00.000000000,4,spending
5396,Currys PC World,Electronics,Electronics,69.95546468588529,non-fraud,2024-02-09T00:00:00.000000000,4,spending
3518,Electronics Store Purchase - Tech Haven,Electronics,Electronics,338.9312313819122,non-fraud,2024-02-25T00:00:00.000000000,4,spending
5407,Vietnamese Pho,Dining Out,restaurants,6.707932982168358,non-fraud,2024-02-16T00:00:00.000000000,4,spending
5267,Medacs Global Group,Healthcare,Healthcare,22.051059397724163,non-fraud,2024-02-27T00:00:00.000000000,5,spending
10741,Synlab/iPP,Healthcare,Healthcare,12.305552225066808,non-fraud,2024-02-21T00:00:00.000000000,5,spending
24134,Price Chopper,Groceries,Groceries,10.259608455803212,non-fraud,2024-02-25T00:00:00.000000000,5,spending
27397,Woolworths,Groceries,Groceries,17.61394686964263,non-fraud,2024-02-08T00:00:00.000000000,5,spending
10149,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,3.3984485984699924,non-fraud,2024-02-06T00:00:00.000000000,5,spending
2430,Trading 212 UK,Investment,Investment,27.268290733370048,non-fraud,2024-02-05T00:00:00.000000000,5,spending
1568,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,0.8936993236082039,non-fraud,2024-02-07T00:00:00.000000000,5,spending
1056,Savings Account Interest - October,Interest,Interest,0.9624454254242196,non-fraud,2024-02-05T00:00:00.000000000,5,income
349,Savings Account Interest - October,Interest,Interest,0.5544522559509091,non-fraud,2024-02-29T00:00:00.000000000,5,income
2162,Cinemacity,Entertainment,Entertainment,6.705733888010052,non-fraud,2024-02-27T00:00:00.000000000,5,spending
244,Cinemacity,Entertainment,Entertainment,4.773370634790306,non-fraud,2024-02-09T00:00:00.000000000,5,spending
2600,Vue,Entertainment,Entertainment,3.540424243524808,non-fraud,2024-02-12T00:00:00.000000000,5,spending
