,Unnamed: 0,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,In_or_Out,bank_to,bank_from,transac_prob,customer_prob,priority,date_DF_created,preds,diff
2393,2394,Law Enforcement Fine - Pay Now to Avoid Arrest,81.35,Utilities,02/10/2023,18879,spending,1,Impersonation,3357170,7094974,October,1,paid_out,bank_D,bank_E,0.41,0.66,2,03/11/2023,,-1
2813,2814,Private Yacht Charter - Mediterranean Cruise,116.1,Holiday,02/10/2023,13531,spending,1,Romance,7306959,6329526,October,1,paid_out,bank_B,bank_A,0.46,0.8,2,03/11/2023,1,0
3387,3388,Invoice Settlement - Payment Account Amendment,537.75,Shopping,03/10/2023,18879,spending,1,InvoiceMandate,1226287,2219181,October,1,paid_out,bank_E,bank_E,0.78,0.66,3,03/11/2023,,-1
4159,4160,Property Investment Purchase - Exclusive Deal,205.7,Shopping,03/10/2023,19879,spending,1,Investment,2046469,5507901,October,1,paid_out,bank_B,bank_A,0.55,0.61,3,03/11/2023,,-1
4186,4187,Canary island holiday ,232.9,Holiday,03/10/2023,13531,spending,1,Romance,5097593,8819701,October,1,paid_out,bank_A,bank_A,0.51,0.8,3,03/11/2023,,-1
4267,4268,Sport event tickets,58.35,Entertainment,04/10/2023,17066,spending,1,Purchase,8028264,7271491,October,1,paid_out,bank_B,bank_B,0.33,0.73,1,03/11/2023,,-1
4769,4770,Hotel Reservation - Travel Website,31.55,Holiday,04/10/2023,13301,spending,1,Purchase,3492544,7853328,October,1,paid_out,bank_A,bank_C,0.29,0.5,1,03/11/2023,,-1
5107,5108,Online Gift Purchase for My New Love,105.3,Personal care,04/10/2023,15971,spending,1,Romance,7038691,1263618,October,1,paid_out,bank_D,bank_E,0.52,0.55,2,03/11/2023,,-1
5245,5246,Emergency medical transfer,53.25,Healthcare,05/10/2023,15971,spending,1,Romance,6199013,8949013,October,1,paid_out,bank_C,bank_E,0.36,0.55,1,03/11/2023,,-1
5310,5311,Apple Store - Electronics Purchase,110.1,Shopping,05/10/2023,16154,spending,1,Romance,4243659,5855259,October,1,paid_out,bank_E,bank_E,0.57,0.41,2,03/11/2023,,-1
5479,5480,InvestToday initial amount,1.2,Utilities,05/10/2023,15496,spending,1,AdvanceFee,2490566,8278334,October,1,paid_out,bank_C,bank_D,0.32,0.8,1,03/11/2023,,-1
5513,5514,IRS Tax Payment - Urgent Action Required,159,Transfers,05/10/2023,13121,spending,1,Impersonation,5765539,4559375,October,1,paid_out,bank_C,bank_A,0.6,0.54,2,03/11/2023,1,0
5625,5626,Dinner for two,23.65,Dining Out,05/10/2023,16209,spending,1,Romance,1658395,5799560,October,1,paid_out,bank_A,bank_B,0.21,0.72,1,03/11/2023,,-1
5627,5628,Inheritance Release - Pay the Legal Fees,1.85,Utilities,05/10/2023,12628,spending,1,AdvanceFee,1367084,4334906,October,1,paid_out,bank_E,bank_A,0.16,0.42,1,03/11/2023,,-1
5693,5694,V&I visa check fees ,79.1,Utilities,05/10/2023,17066,spending,1,Impersonation,5638299,2397264,October,1,paid_out,bank_D,bank_B,0.43,0.73,1,03/11/2023,1,0
5744,5745,Designer Handbag - Luxury Boutique,34.45,Shopping,05/10/2023,19879,spending,1,Purchase,6258477,4079134,October,1,paid_out,bank_E,bank_A,0.17,0.61,1,03/11/2023,1,0
5887,5888,Emergency medical transfer,93.35,Healthcare,06/10/2023,16154,spending,1,Romance,1524954,5696644,October,1,paid_out,bank_C,bank_E,0.42,0.41,2,03/11/2023,,-1
6055,6056,Facebook Marketplace Upfront payment,48.7,Utilities,06/10/2023,17027,spending,1,Purchase,3367810,4254083,October,1,paid_out,bank_E,bank_A,0.37,0.72,1,03/11/2023,1,0
6138,6139,Sport event tickets,44.65,Entertainment,06/10/2023,10174,spending,1,Purchase,7984837,5912978,October,1,paid_out,bank_A,bank_E,0.29,0.77,1,03/11/2023,,-1
6219,6220,Neiman Marcus - Designer Shopping,216.45,Shopping,06/10/2023,15971,spending,1,Romance,8599941,3731873,October,1,paid_out,bank_C,bank_E,0.64,0.55,3,03/11/2023,,-1
6236,6237,V&I visa check fees ,69.15,Utilities,06/10/2023,18873,spending,1,Impersonation,7988023,4613140,October,1,paid_out,bank_D,bank_E,0.39,0.74,1,03/11/2023,1,0
6532,6533,ClothesOnline additional posting payment,44.2,Shopping,06/10/2023,19879,spending,1,Purchase,4597990,7621749,October,1,paid_out,bank_D,bank_A,0.35,0.61,1,03/11/2023,,-1
6609,6610,Sport event tickets,64.6,Entertainment,07/10/2023,18879,spending,1,Purchase,3876824,1192947,October,1,paid_out,bank_A,bank_E,0.33,0.66,1,03/11/2023,,-1
6639,6640,Mortgage assistance,18.25,Utilities,07/10/2023,13063,spending,1,Romance,2608081,7447970,October,1,paid_out,bank_B,bank_E,0.37,0.59,1,03/11/2023,,-1
6640,6641,V&I visa check fees ,10.15,Utilities,07/10/2023,17966,spending,1,Impersonation,4903642,6335341,October,1,paid_out,bank_A,bank_A,0.19,0.61,1,03/11/2023,,-1
6646,6647,Sport event tickets,46.65,Entertainment,07/10/2023,11824,spending,1,Purchase,4520359,8213965,October,1,paid_out,bank_D,bank_C,0.34,0.79,1,03/11/2023,1,0
7162,7163,HMRC tax rebate upfront fee,172.65,Utilities,07/10/2023,10710,spending,1,Impersonation,2431710,1562982,October,1,paid_out,bank_A,bank_A,0.71,0.87,3,03/11/2023,,-1
7199,7200,Electronics Purchase - Online Store,40.95,Electronics,07/10/2023,15831,spending,1,Purchase,7832679,3585786,October,1,paid_out,bank_E,bank_E,0.24,0.77,1,03/11/2023,,-1
7359,7360,Legal Penalty Settlement,82.15,Transfers,08/10/2023,10911,spending,1,Impersonation,1507996,4408446,October,1,paid_out,bank_D,bank_A,0.65,0.85,2,03/11/2023,1,0
7558,7559,InvestToday initial amount,2.85,Utilities,08/10/2023,15496,spending,1,AdvanceFee,5083748,7237604,October,1,paid_out,bank_B,bank_D,0.18,0.8,1,03/11/2023,1,0
7589,7590,InvestToday initial amount,28,Utilities,08/10/2023,18118,spending,1,AdvanceFee,4860635,4785786,October,1,paid_out,bank_A,bank_D,0.33,0.56,1,03/11/2023,1,0
7917,7918,Legal Penalty Settlement,84.35,Transfers,08/10/2023,11360,spending,1,Impersonation,4696854,1414167,October,1,paid_out,bank_B,bank_B,0.4,0.41,2,03/11/2023,,-1
7923,7924,Facebook Marketplace Upfront payment,37.6,Utilities,08/10/2023,13811,spending,1,Purchase,3923293,7765461,October,1,paid_out,bank_E,bank_C,0.23,0.67,1,03/11/2023,1,0
8197,8198,Law Enforcement Fine - Pay Now to Avoid Arrest,57.8,Utilities,09/10/2023,10647,spending,1,Impersonation,6121914,6844090,October,1,paid_out,bank_B,bank_D,0.52,0.75,1,03/11/2023,,-1
8257,8258,Law Enforcement Fine - Pay Now to Avoid Arrest,98.5,Utilities,09/10/2023,17156,spending,1,Impersonation,2334604,3147875,October,1,paid_out,bank_C,bank_E,0.49,0.43,2,03/11/2023,,-1
8477,8478,Designer Handbag - Luxury Boutique,25.15,Shopping,09/10/2023,13067,spending,1,Purchase,8089414,5194437,October,1,paid_out,bank_A,bank_A,0.39,0.5,1,03/11/2023,1,0
8645,8646,Electronics Purchase - Online Store,57.25,Electronics,09/10/2023,18712,spending,1,Purchase,6150311,6027991,October,1,paid_out,bank_C,bank_E,0.56,0.45,1,03/11/2023,,-1
8676,8677,eBay Fee For Requested Refund,33.15,Shopping,09/10/2023,11679,spending,1,Purchase,7429351,8492487,October,1,paid_out,bank_C,bank_E,0.18,0.74,1,03/11/2023,,-1
8744,8745,Designer Handbag - Luxury Boutique,61.5,Shopping,09/10/2023,11641,spending,1,Purchase,5012381,2237158,October,1,paid_out,bank_B,bank_A,0.35,0.51,1,03/11/2023,,-1
8786,8787,Forex Trading Profits - Expert Strategy,155.85,Shopping,10/10/2023,16077,spending,1,Investment,1792750,2670413,October,1,paid_out,bank_D,bank_E,0.45,0.8,2,03/11/2023,,-1
8838,8839,Emergency medical transfer,116,Healthcare,10/10/2023,15391,spending,1,Romance,3403082,5839339,October,1,paid_out,bank_D,bank_D,0.47,0.67,2,03/11/2023,,-1
8930,8931,Exclusive Investment Offer - Limited Time,185.1,Investment,10/10/2023,18133,spending,1,Investment,4613772,1360767,October,1,paid_out,bank_C,bank_C,0.51,0.85,3,03/11/2023,,-1
9166,9167,Traffic Violation Fine,270.35,Utilities,10/10/2023,10911,spending,1,Impersonation,5640164,3195074,October,1,paid_out,Intrnl,bank_A,0.75,0.85,4,03/11/2023,1,0
9224,9225,Facebook Marketplace Upfront payment,48.15,Utilities,10/10/2023,10525,spending,1,Purchase,6890081,2199462,October,1,paid_out,bank_E,bank_C,0.57,0.56,1,03/11/2023,,-1
9237,9238,eBay Fee For Requested Refund,33.7,Shopping,10/10/2023,10525,spending,1,Purchase,7557321,8784953,October,1,paid_out,bank_C,bank_C,0.38,0.56,1,03/11/2023,1,0
9272,9273,IRS Tax Payment - Urgent Action Required,3.5,Transfers,10/10/2023,11641,spending,1,Impersonation,7289245,4166928,October,1,paid_out,bank_C,bank_A,0.36,0.51,1,03/11/2023,,-1
9295,9296,Law Enforcement Fine - Pay Now to Avoid Arrest,133.55,Utilities,10/10/2023,17804,spending,1,Impersonation,4162008,3189676,October,1,paid_out,bank_B,bank_A,0.54,0.62,2,03/11/2023,,-1
9378,9379,eBay Fee For Requested Refund,54.95,Shopping,10/10/2023,12172,spending,1,Purchase,4308028,5438497,October,1,paid_out,bank_A,bank_C,0.37,0.43,1,03/11/2023,,-1
9659,9660,HMRC tax rebate upfront fee,81.45,Utilities,11/10/2023,16417,spending,1,Impersonation,8707091,7233708,October,1,paid_out,bank_A,bank_D,0.66,0.69,2,03/11/2023,1,0
9720,9721,Private Yacht Charter - Mediterranean Cruise,13.55,Holiday,11/10/2023,16209,spending,1,Romance,2638304,3716539,October,1,paid_out,bank_A,bank_B,0.17,0.72,1,03/11/2023,,-1
9766,9767,Sport event tickets,38.7,Entertainment,11/10/2023,15233,spending,1,Purchase,8249743,3570253,October,1,paid_out,bank_E,bank_A,0.33,0.64,1,03/11/2023,,-1
9774,9775,Forex Trading Profits - Expert Strategy,340.45,Shopping,11/10/2023,18805,spending,1,Investment,7466026,8572620,October,1,paid_out,Intrnl,bank_C,0.79,0.84,4,03/11/2023,,-1
9777,9778,Payment for Outstanding Tax Fine,29.95,Utilities,11/10/2023,17636,spending,1,Impersonation,4119524,1406488,October,1,paid_out,bank_B,bank_D,0.3,0.56,1,03/11/2023,,-1
9886,9887,ClothesOnline additional posting payment,52.6,Shopping,11/10/2023,13067,spending,1,Purchase,6765139,3761119,October,1,paid_out,bank_A,bank_A,0.42,0.5,1,03/11/2023,,-1
10014,10015,Law Enforcement Fine - Pay Now to Avoid Arrest,161.9,Utilities,11/10/2023,11641,spending,1,Impersonation,8067584,5135132,October,1,paid_out,bank_A,bank_A,0.52,0.51,3,03/11/2023,,-1
10141,10142,Legal Penalty Settlement,183.9,Transfers,11/10/2023,18133,spending,1,Impersonation,8019834,3658828,October,1,paid_out,bank_C,bank_C,0.62,0.85,3,03/11/2023,1,0
10194,10195,eBay securitng item payment,48.05,Shopping,11/10/2023,10525,spending,1,AdvanceFee,3762440,4688383,October,1,paid_out,bank_D,bank_C,0.54,0.56,1,03/11/2023,1,0
10245,10246,Facebook Marketplace Upfront payment,61.1,Utilities,11/10/2023,13395,spending,1,Purchase,2834298,4507728,October,1,paid_out,bank_E,bank_C,0.6,0.7,1,03/11/2023,1,0
10274,10275,Online Gift Purchase for My New Love,217.4,Personal care,12/10/2023,14513,spending,1,Romance,2750499,2256717,October,1,paid_out,bank_E,bank_C,0.68,0.81,3,03/11/2023,,-1
10507,10508,Bank Account Verification - Immediate Response Needed,167.65,Transfers,12/10/2023,11421,spending,1,Impersonation,1858722,2001974,October,1,paid_out,bank_B,bank_D,0.64,0.71,3,03/11/2023,1,0
10821,10822,Legal Penalty Settlement,85.25,Transfers,12/10/2023,10174,spending,1,Impersonation,7522792,4441735,October,1,paid_out,bank_C,bank_E,0.63,0.77,2,03/11/2023,,-1
10897,10898,Designer Handbag - Luxury Boutique,65.75,Shopping,12/10/2023,10710,spending,1,Purchase,2946974,4564601,October,1,paid_out,bank_A,bank_A,0.3,0.87,1,03/11/2023,,-1
10965,10966,Hotel Reservation - Travel Website,28.05,Holiday,12/10/2023,19167,spending,1,Purchase,4392866,5704619,October,1,paid_out,bank_E,bank_A,0.36,0.73,1,03/11/2023,,-1
11054,11055,Canary island holiday ,51,Holiday,13/10/2023,15971,spending,1,Romance,2803825,2673083,October,1,paid_out,bank_E,bank_E,0.57,0.55,1,03/11/2023,,-1
11212,11213,WinBet Request Winnings Fee,23.95,Utilities,13/10/2023,13121,spending,1,AdvanceFee,7805900,4266913,October,1,paid_out,bank_B,bank_A,0.35,0.54,1,03/11/2023,,-1
11258,11259,Contractor Payment - Revised Payment Instructions,1514.8,Shopping,13/10/2023,11421,spending,1,InvoiceMandate,3073596,6724423,October,1,paid_out,Intrnl,bank_D,0.75,0.71,4,03/11/2023,0,-1
11342,11343,Sport event tickets,36.65,Entertainment,13/10/2023,15496,spending,1,Purchase,4776134,1837566,October,1,paid_out,bank_A,bank_D,0.28,0.8,1,03/11/2023,,-1
11424,11425,French Riviera Yacht Charter - Luxury Cruise,64.6,Holiday,13/10/2023,13063,spending,1,Romance,1172068,4736929,October,1,paid_out,bank_C,bank_E,0.4,0.59,1,03/11/2023,,-1
11604,11605,Electronics Purchase - Online Store,23.9,Electronics,13/10/2023,18879,spending,1,Purchase,7950217,8229331,October,1,paid_out,bank_E,bank_E,0.22,0.66,1,03/11/2023,,-1
11640,11641,Guaranteed Returns - Investment Portfolio,194.85,Investment,13/10/2023,13067,spending,1,Investment,3148240,4082463,October,1,paid_out,bank_D,bank_A,0.58,0.5,3,03/11/2023,,-1
11763,11764,Legal Penalty Settlement,45.15,Transfers,14/10/2023,18377,spending,1,Impersonation,3480144,4824049,October,1,paid_out,bank_C,bank_B,0.46,0.54,1,03/11/2023,,-1
11847,11848,Apple Store - Electronics Purchase,20.8,Shopping,14/10/2023,16209,spending,1,Romance,6666222,8022812,October,1,paid_out,bank_B,bank_B,0.28,0.72,1,03/11/2023,,-1
12382,12383,Hotel Reservation - Travel Website,28,Holiday,14/10/2023,18133,spending,1,Purchase,2661914,6846990,October,1,paid_out,bank_C,bank_C,0.1,0.85,1,03/11/2023,,-1
12682,12683,Police Admin Fees,15.8,Utilities,15/10/2023,11421,spending,1,Impersonation,8604585,8319555,October,1,paid_out,bank_A,bank_D,0.17,0.71,1,03/11/2023,,-1
12808,12809,Bank Account Verification - Immediate Response Needed,212.4,Transfers,15/10/2023,13709,spending,1,Impersonation,7552997,2460598,October,1,paid_out,Intrnl,bank_D,0.8,0.5,4,03/11/2023,,-1
13113,13114,IRS Tax Payment - Urgent Action Required,204.75,Transfers,15/10/2023,10174,spending,1,Impersonation,6148804,2397712,October,1,paid_out,bank_E,bank_E,0.6,0.77,3,03/11/2023,,-1
13165,13166,V&I visa check fees ,173,Utilities,15/10/2023,15958,spending,1,Impersonation,1585843,2299323,October,1,paid_out,bank_A,bank_C,0.52,0.82,3,03/11/2023,,-1
13233,13234,V&I visa check fees ,163.6,Utilities,15/10/2023,17038,spending,1,Impersonation,4027099,8111211,October,1,paid_out,bank_C,bank_C,0.77,0.79,3,03/11/2023,,-1
13260,13261,Hotel Reservation - Travel Website,36.25,Holiday,16/10/2023,12172,spending,1,Purchase,2381730,3897050,October,1,paid_out,bank_E,bank_C,0.22,0.43,1,03/11/2023,,-1
13363,13364,Facebook Marketplace Upfront payment,52,Utilities,16/10/2023,14905,spending,1,Purchase,6539029,2728548,October,1,paid_out,bank_C,bank_A,0.36,0.64,1,03/11/2023,,-1
13468,13469,High-Yield Investment Opportunity,160.2,Shopping,16/10/2023,15831,spending,1,Investment,3612071,1451578,October,1,paid_out,bank_D,bank_E,0.62,0.77,3,03/11/2023,,-1
13840,13841,eBay securitng item payment,23,Shopping,16/10/2023,14010,spending,1,AdvanceFee,5212736,6895890,October,1,paid_out,bank_B,bank_C,0.27,0.45,1,03/11/2023,1,0
13865,13866,Police Admin Fees,163.9,Utilities,16/10/2023,14010,spending,1,Impersonation,4462632,7272034,October,1,paid_out,bank_C,bank_C,0.52,0.45,3,03/11/2023,,-1
14154,14155,"Claim Your Lottery Winnings - Processing Fee""",168.4,Shopping,17/10/2023,18816,spending,1,AdvanceFee,5743115,4470550,October,1,paid_out,bank_B,bank_A,0.52,0.46,3,03/11/2023,1,0
14665,14666,IRS Tax Payment - Urgent Action Required,145.4,Transfers,17/10/2023,13310,spending,1,Impersonation,7401724,6736934,October,1,paid_out,bank_E,bank_D,0.43,0.63,2,03/11/2023,,-1
14826,14827,Electronics Purchase - Online Store,11.85,Electronics,18/10/2023,12628,spending,1,Purchase,8226850,4145370,October,1,paid_out,bank_A,bank_A,0.19,0.42,1,03/11/2023,,-1
15307,15308,Hotel Reservation - Travel Website,36.75,Holiday,18/10/2023,13709,spending,1,Purchase,4118581,2060180,October,1,paid_out,bank_D,bank_D,0.25,0.5,1,03/11/2023,,-1
15612,15613,Private Yacht Charter - Mediterranean Cruise,9.95,Holiday,19/10/2023,16209,spending,1,Romance,4708270,3180001,October,1,paid_out,bank_E,bank_B,0.29,0.72,1,03/11/2023,,-1
15673,15674,Foreign Exchange Investment - Safe and Secure,147.9,Investment,19/10/2023,14620,spending,1,Investment,3620868,2739499,October,1,paid_out,bank_D,bank_C,0.66,0.53,2,03/11/2023,,-1
16215,16216,"Money transfer - partner, emergency fund",51.8,Transfers,20/10/2023,14513,spending,1,Romance,6542743,2353112,October,1,paid_out,bank_A,bank_C,0.32,0.81,1,03/11/2023,,-1
16409,16410,Grant Approval - Small Processing Charge,12.6,Utilities,20/10/2023,18818,spending,1,AdvanceFee,8510652,8821323,October,1,paid_out,bank_C,bank_D,0.32,0.67,1,03/11/2023,,-1
16582,16583,Apple Store - Electronics Purchase,180.95,Shopping,20/10/2023,15391,spending,1,Romance,4508519,6331601,October,1,paid_out,bank_B,bank_D,0.76,0.67,3,03/11/2023,,-1
16600,16601,"Money transfer - partner, emergency fund",22.05,Transfers,20/10/2023,15391,spending,1,Romance,2961396,1214885,October,1,paid_out,bank_A,bank_D,0.12,0.67,1,03/11/2023,,-1
16751,16752,Diamond Investment Fund - High-Value Returns,36.95,Investment,20/10/2023,18805,spending,1,Investment,3034348,3823562,October,1,paid_out,bank_E,bank_C,0.24,0.84,1,03/11/2023,1,0
16829,16830,Designer Handbag - Luxury Boutique,44.9,Shopping,20/10/2023,13310,spending,1,Purchase,4477991,1681334,October,1,paid_out,bank_A,bank_D,0.33,0.63,1,03/11/2023,,-1
16895,16896,Private Yacht Charter - Mediterranean Cruise,144,Holiday,20/10/2023,16209,spending,1,Romance,1634660,2212837,October,1,paid_out,bank_D,bank_B,0.65,0.72,2,03/11/2023,,-1
17065,17066,Legal Penalty Settlement,168.4,Transfers,21/10/2023,13310,spending,1,Impersonation,5855946,2563328,October,1,paid_out,bank_D,bank_D,0.59,0.63,3,03/11/2023,,-1
17509,17510,eBay securitng item payment,40.95,Shopping,21/10/2023,18818,spending,1,AdvanceFee,4896373,1423248,October,1,paid_out,bank_E,bank_D,0.32,0.67,1,03/11/2023,,-1
17593,17594,V&I visa check fees ,208.35,Utilities,21/10/2023,13301,spending,1,Impersonation,3362428,8402578,October,1,paid_out,Intrnl,bank_C,0.76,0.5,4,03/11/2023,,-1
17831,17832,ClothesOnline additional posting payment,26.75,Shopping,22/10/2023,14687,spending,1,Purchase,3807802,7104823,October,1,paid_out,bank_E,bank_E,0.39,0.7,1,03/11/2023,,-1
17945,17946,Traffic Violation Fine,163.1,Utilities,22/10/2023,10647,spending,1,Impersonation,1372908,7964365,October,1,paid_out,bank_C,bank_D,0.64,0.75,3,03/11/2023,,-1
17972,17973,Private Yacht Charter - Mediterranean Cruise,48.8,Holiday,22/10/2023,15971,spending,1,Romance,7770870,4574124,October,1,paid_out,bank_D,bank_E,0.31,0.55,1,03/11/2023,,-1
18063,18064,InvestToday initial amount,52.75,Utilities,22/10/2023,18873,spending,1,AdvanceFee,3517627,2725025,October,1,paid_out,bank_D,bank_E,0.33,0.74,1,03/11/2023,1,0
18123,18124,IRS Tax Payment - Urgent Action Required,242.65,Transfers,22/10/2023,13811,spending,1,Impersonation,7904276,7368652,October,1,paid_out,bank_D,bank_C,0.79,0.67,3,03/11/2023,,-1
18528,18529,"Claim Your Lottery Winnings - Processing Fee""",95.95,Shopping,23/10/2023,13067,spending,1,AdvanceFee,6906741,1742923,October,1,paid_out,bank_B,bank_A,0.48,0.5,2,03/11/2023,,-1
18920,18921,French Riviera Yacht Charter - Luxury Cruise,127.7,Holiday,23/10/2023,14513,spending,1,Romance,3826802,3692146,October,1,paid_out,bank_A,bank_C,0.56,0.81,2,03/11/2023,,-1
18924,18925,Electronics Purchase - Online Store,37.85,Electronics,23/10/2023,11348,spending,1,Purchase,6696594,8481133,October,1,paid_out,bank_A,bank_E,0.29,0.56,1,03/11/2023,,-1
19608,19609,Sport event tickets,40.55,Entertainment,24/10/2023,14687,spending,1,Purchase,4736620,8899873,October,1,paid_out,bank_A,bank_E,0.29,0.7,1,03/11/2023,1,0
19866,19867,ClothesOnline additional posting payment,31.2,Shopping,24/10/2023,19167,spending,1,Purchase,6812772,2743551,October,1,paid_out,bank_E,bank_A,0.22,0.73,1,03/11/2023,,-1
19874,19875,Sport event tickets,47.95,Entertainment,24/10/2023,18818,spending,1,Purchase,6980294,1381123,October,1,paid_out,bank_E,bank_D,0.34,0.67,1,03/11/2023,,-1
20044,20045,French Riviera Yacht Charter - Luxury Cruise,115.3,Holiday,25/10/2023,15391,spending,1,Romance,3677246,7305012,October,1,paid_out,bank_B,bank_D,0.66,0.67,2,03/11/2023,,-1
20177,20178,InvestToday initial amount,91.3,Utilities,25/10/2023,12172,spending,1,AdvanceFee,1710488,5269088,October,1,paid_out,bank_D,bank_C,0.4,0.43,2,03/11/2023,,-1
20181,20182,Air bnb extra cleaning fees,39.65,Holiday,25/10/2023,11641,spending,1,Purchase,7286810,4735896,October,1,paid_out,bank_C,bank_A,0.16,0.51,1,03/11/2023,,-1
20341,20342,Facebook Marketplace Upfront payment,51.1,Utilities,25/10/2023,14620,spending,1,Purchase,7937545,1436867,October,1,paid_out,bank_B,bank_C,0.5,0.53,1,03/11/2023,,-1
20412,20413,Guaranteed Returns - Investment Portfolio,196.35,Investment,25/10/2023,18873,spending,1,Investment,7199286,6479845,October,1,paid_out,bank_E,bank_E,0.52,0.74,3,03/11/2023,,-1
20449,20450,Guaranteed Returns - Investment Portfolio,15.35,Investment,25/10/2023,18396,spending,1,Investment,8581721,7040547,October,1,paid_out,bank_E,bank_B,0.31,0.65,1,03/11/2023,,-1
20498,20499,IRS Tax Payment - Urgent Action Required,222.15,Transfers,25/10/2023,18396,spending,1,Impersonation,1547120,1654414,October,1,paid_out,Intrnl,bank_B,0.66,0.65,4,03/11/2023,,-1
20553,20554,Payment for Outstanding Tax Fine,86.45,Utilities,25/10/2023,18816,spending,1,Impersonation,2277770,8178848,October,1,paid_out,Intrnl,bank_A,0.64,0.46,4,03/11/2023,,-1
20775,20776,Apple Store - Electronics Purchase,67.75,Shopping,26/10/2023,16154,spending,1,Romance,5876150,8452586,October,1,paid_out,bank_C,bank_E,0.57,0.41,1,03/11/2023,,-1
20839,20840,Exclusive Investment Offer - Limited Time,652.8,Investment,26/10/2023,14647,spending,1,Investment,4284434,3325789,October,1,paid_out,Intrnl,bank_A,0.73,0.6,4,03/11/2023,,-1
